,Geneid,_filesTien_Cont1_S25sorted,_filesTien_Cont2_S26sorted,_filesTien_Cont3_S27sorted,_filesTien_Zn1_S28sorted,_filesTien_Zn2_S29sorted,_filesTien_Zn3_S30sorted
2293,ENSG00000206679,0,1,0,2,0,0
2294,ENSG00000226026,1,6,18,10,4,5
2295,ENSG000001224811,26,316,411,391,317,231
2296,ENSG00000228852,1,53,35,47,32,29
2297,ENSG00000228504,0,0,0,0,0,0
2298,ENSG00000230434,0,0,0,0,0,0
2299,ENSG00000237954,0,1,0,0,0,0
2300,ENSG00000233907,0,0,0,2,0,0
2301,ENSG00000216037,0,0,0,0,0,0
2302,ENSG00000228971,1,2,8,8,1,0
2303,ENSG00000271252,0,6,6,1,0,1
2304,ENSG00000221798,0,0,0,0,0,0
2305,ENSG00000237435,0,0,0,0,0,0
2306,ENSG00000200800,0,0,0,0,0,0
2307,ENSG00000231987,0,0,0,0,0,0
2308,ENSG00000225923,0,0,0,0,0,0
2309,ENSG00000234422,0,0,0,0,0,0
2310,ENSG00000228502,17,316,455,437,441,289
2311,ENSG00000241992,0,0,0,0,0,0
2312,ENSG00000234226,0,1,0,0,0,0
2313,ENSG00000137970,95,1482,2077,1949,1865,1292
2314,ENSG00000223229,0,0,0,0,0,0
2315,ENSG000001175691,226,2843,4126,3111,2439,2013
2316,ENSG00000212039,0,0,0,0,0,0
2317,ENSG00000265771,0,0,0,0,0,0
2318,ENSG00000188641,0,4,14,11,22,6
2319,ENSG00000232878,0,0,0,0,0,0
2320,ENSG00000232542,0,0,0,0,0,0
2321,ENSG00000228057,0,17,34,25,24,16
2322,ENSG00000226128,0,0,0,0,0,0
2323,ENSG00000230718,0,0,2,0,0,0
2324,ENSG00000235777,0,0,0,0,0,0
2325,ENSG00000270911,0,0,0,0,0,0
2326,ENSG00000269998,0,0,0,0,0,0
2327,ENSG00000259946,0,0,0,0,0,0
2328,ENSG00000225206,0,2,0,0,0,2
2329,ENSG00000233557,0,0,0,0,0,0
2330,ENSG00000226053,0,0,0,0,0,0
2331,ENSG00000221777,0,0,0,0,0,0
2332,ENSG000001626271,51,834,1208,997,926,640
2333,ENSG00000117598,4,121,154,192,196,109
2334,ENSG00000232825,0,1,0,1,0,0
2335,ENSG00000227034,0,1,5,1,6,4
2336,ENSG00000117600,6,29,44,48,45,25
2337,ENSG00000233983,0,0,0,0,0,0
2338,ENSG00000224445,0,0,0,0,0,0
2339,ENSG00000099260,0,0,6,2,0,0
2340,ENSG00000223656,0,1,0,0,0,1
2341,ENSG00000156869,19,202,277,177,157,105
2342,ENSG00000201491,0,0,0,0,0,0
2343,ENSG00000202254,0,0,0,0,0,0
2344,ENSG00000252226,0,0,0,0,0,0
2345,ENSG00000231996,0,0,0,0,0,0
2346,ENSG000001626881,158,2006,2655,1906,1815,1163
2347,ENSG00000228084,0,8,14,5,1,3
2348,ENSG00000117620,116,1570,1859,1569,1407,922
2349,ENSG00000212248,0,0,0,0,0,0
2350,ENSG00000202259,0,0,1,0,0,0
2351,ENSG00000261254,2,90,89,84,65,58
2352,ENSG00000156875,279,3465,4906,4031,3637,2336
2353,ENSG00000241073,0,1,0,0,2,0
2354,ENSG00000156876,122,1544,2213,1794,1561,1049
2355,ENSG00000226952,0,1,2,0,0,0
2356,ENSG00000122435,44,953,1351,1056,1039,714
2357,ENSG00000122477,2,25,44,31,48,26
2358,ENSG000001379921,163,2283,3352,2525,2275,1535
2359,ENSG00000271415,0,3,1,1,3,2
2360,ENSG00000225169,0,1,10,10,9,5
2361,ENSG00000230287,0,4,0,0,0,2
2362,ENSG00000224616,2,19,32,23,7,12
2363,ENSG00000137996,196,2624,3530,3000,2686,1874
2364,ENSG00000207750,0,2,2,5,3,2
2365,ENSG00000215871,0,1,0,0,0,0
2366,ENSG00000223906,0,1,0,0,0,0
2367,ENSG000000793351,47,690,965,685,590,396
2368,ENSG00000216067,0,0,0,0,0,0
2369,ENSG00000234332,3,14,29,17,12,18
2370,ENSG00000228086,0,0,1,0,1,1
2371,ENSG00000181656,0,0,0,4,0,2
2372,ENSG00000213421,0,0,1,0,0,0
2373,ENSG00000230402,0,0,0,0,0,0
2374,ENSG00000224685,0,0,0,0,0,0
2375,ENSG00000162692,0,2,0,4,0,0
2376,ENSG00000162694,201,2612,3768,2914,2411,1728
2377,ENSG00000273204,0,0,0,0,0,0
2378,ENSG00000162695,101,1204,1761,1422,1360,864
2379,ENSG00000230946,0,4,6,6,10,3
2380,ENSG000001175431,120,1536,2163,1853,1464,1183
2381,ENSG00000269175,3,41,46,70,34,31
2382,ENSG00000235795,0,3,10,7,11,10
2383,ENSG00000233184,14,323,434,393,432,265
2384,ENSG00000252765,0,0,0,0,0,0
2385,ENSG00000271578,0,0,0,0,0,0
2386,ENSG00000238296,0,0,2,0,0,0
2387,ENSG00000225938,0,20,16,13,5,3
2388,ENSG00000170989,58,670,930,511,475,262
2389,ENSG00000260940,0,0,0,2,0,1
2390,ENSG00000228399,0,0,2,6,1,4
2391,ENSG00000173810,0,0,0,1,0,1
2392,ENSG00000231671,0,0,0,0,6,0
2393,ENSG00000226715,0,0,0,0,0,0
2394,ENSG00000252530,0,0,0,0,0,0
2395,ENSG00000183298,23,383,517,490,511,262
2396,ENSG000001187331,0,2,8,0,3,0
2397,ENSG00000252717,0,0,0,0,0,0
2398,ENSG00000271277,0,0,0,0,0,0
2399,ENSG00000162699,0,0,0,0,0,0
2400,ENSG00000233359,0,0,0,0,0,0
2401,ENSG00000230864,0,0,0,0,0,0
2402,ENSG000000607181,83,1297,1837,2105,1707,1313
2403,ENSG00000234257,0,0,0,1,0,0
2404,ENSG00000232753,0,0,0,0,0,0
2405,ENSG00000234037,0,0,0,0,0,0
2406,ENSG00000230759,0,0,0,0,0,0
2407,ENSG00000224613,0,0,0,1,0,0
2408,ENSG00000222069,0,0,0,0,0,1
2409,ENSG000001859461,81,949,1397,1151,905,590
2410,ENSG00000240038,0,6,20,5,18,12
2411,ENSG00000236085,0,0,0,0,0,0
2412,ENSG00000243480,0,0,0,0,0,0
2413,ENSG00000237763,0,0,0,0,0,0
2414,ENSG00000234441,0,0,0,0,0,0
2415,ENSG000001748761,0,0,0,2,0,0
2416,ENSG00000227408,0,0,0,0,0,0
2417,ENSG00000187733,0,0,0,0,0,0
2418,ENSG00000225191,0,3,1,0,0,0
2419,ENSG00000243500,0,0,0,0,0,0
2420,ENSG00000215869,0,2,0,0,9,0
2421,ENSG00000228347,0,0,1,0,3,0
2422,ENSG00000225036,0,0,0,0,0,0
2423,ENSG00000230768,0,0,0,0,0,0
2424,ENSG00000227850,2,22,28,16,28,6
2425,ENSG00000237897,1,1,3,2,0,1
2426,ENSG00000232952,8,131,211,187,185,128
2427,ENSG00000233047,0,0,0,0,0,0
2428,ENSG00000237480,0,0,0,0,0,0
2429,ENSG00000230932,0,0,0,0,0,0
2430,ENSG00000270342,0,0,0,0,0,0
2431,ENSG00000270976,0,0,0,0,0,0
2432,ENSG00000233449,0,0,0,0,0,0
2433,ENSG00000232551,0,0,0,0,0,0
2434,ENSG00000237460,0,0,0,0,0,0
2435,ENSG00000198890,13,327,494,283,247,222
2436,ENSG000001626311,11,161,307,181,155,146
2437,ENSG00000238883,0,0,0,0,0,0
2438,ENSG00000224550,4,22,24,21,21,21
2439,ENSG000001342151,16,243,292,249,240,178
2440,ENSG00000265536,0,0,0,0,0,0
2441,ENSG00000230489,0,0,0,2,0,0
2442,ENSG00000264753,0,0,0,0,0,0
2443,ENSG00000226822,0,0,0,0,0,0
2444,ENSG000000854911,394,5943,8156,7128,6698,4406
2445,ENSG00000260879,0,7,9,6,7,3
2446,ENSG00000196427,0,0,0,0,0,0
2447,ENSG00000238122,0,0,1,2,0,0
2448,ENSG00000241361,0,0,2,0,0,0
2449,ENSG000001860861,0,0,0,0,0,0
2450,ENSG00000243967,0,0,0,0,0,0
2451,ENSG00000238118,0,0,0,2,0,0
2452,ENSG00000224698,0,0,0,0,0,0
2453,ENSG00000227832,0,0,0,0,0,0
2454,ENSG00000226483,0,0,0,0,0,0
2455,ENSG000001626361,123,1288,1816,1460,1262,884
2456,ENSG000001626391,48,822,1127,1013,923,560
2457,ENSG00000134186,534,7538,10811,8719,7715,5492
2458,ENSG00000143107,0,2,5,3,3,1
2459,ENSG00000232971,0,0,0,0,0,0
2460,ENSG00000116266,118,1791,2661,2112,1717,1373
2461,ENSG00000228076,0,0,1,0,0,0
2462,ENSG000001626411,0,0,2,2,4,0
2463,ENSG00000203897,0,0,0,0,0,1
2464,ENSG00000121957,121,1493,2029,1551,1496,1025
2465,ENSG000001219401,110,1697,2354,1942,1717,1189
2466,ENSG000000854331,32,523,733,575,570,348
2467,ENSG00000237349,0,2,0,3,0,0
2468,ENSG00000244716,56,844,1173,1188,1027,889
2469,ENSG00000228665,0,7,3,1,0,0
2470,ENSG00000228054,0,2,2,1,3,0
2471,ENSG00000197780,60,855,1166,1057,1007,702
2472,ENSG00000273382,6,41,20,29,29,23
2473,ENSG00000215717,82,956,1424,1199,1042,616
2474,ENSG00000270066,2,30,81,57,48,43
2475,ENSG00000251484,0,9,7,7,1,8
2476,ENSG00000179902,0,2,3,6,7,4
2477,ENSG000001162991,0,26,40,39,24,30
2478,ENSG00000238310,0,0,0,1,0,0
2479,ENSG00000031698,867,10762,15563,12351,11226,7700
2480,ENSG00000143126,388,4689,6938,5135,4437,2843
2481,ENSG000001342221,193,2749,3970,3048,2967,1845
2482,ENSG00000221986,1,2,4,2,5,2
2483,ENSG00000134243,172,2170,3278,2600,2285,1607
2484,ENSG00000143106,214,2889,4081,3589,3068,2225
2485,ENSG00000143028,10,39,49,61,38,22
2486,ENSG000001626501,18,308,402,443,370,267
2487,ENSG000001741511,21,274,395,251,268,216
2488,ENSG00000181754,8,87,145,138,109,89
2489,ENSG00000156097,2,11,40,39,29,9
2490,ENSG00000254942,0,0,0,0,0,0
2491,ENSG00000065135,309,4475,6205,4887,4333,2932
2492,ENSG00000206832,0,0,2,1,2,2
2493,ENSG00000225113,0,9,8,17,9,3
2494,ENSG00000207709,0,4,0,3,2,3
2495,ENSG00000134183,2,18,14,18,13,11
2496,ENSG000001163371,140,2308,3167,3042,2682,1861
2497,ENSG00000228703,0,0,0,0,0,0
2498,ENSG00000235045,0,0,0,1,0,0
2499,ENSG000001687651,31,374,491,353,309,216
2500,ENSG00000213366,16,237,264,210,165,179
2501,ENSG00000134184,54,644,845,731,576,469
2502,ENSG00000260246,0,0,0,1,0,2
2503,ENSG00000134201,0,8,11,20,5,6
2504,ENSG00000241720,0,0,4,0,0,0
2505,ENSG00000134202,15,179,228,227,205,160
2506,ENSG00000198758,0,0,2,0,2,0
2507,ENSG00000224927,0,0,0,4,2,0
2508,ENSG00000228420,1,44,77,26,19,29
2509,ENSG00000235005,0,7,2,4,5,13
2510,ENSG00000261055,3,26,30,15,10,17
2511,ENSG00000184371,58,670,908,1005,942,642
2512,ENSG000001687101,968,12572,17462,14881,13476,9533
2513,ENSG000001430931,219,3071,4348,3826,3539,2426
2514,ENSG00000258634,47,789,965,894,862,602
2515,ENSG00000156150,0,3,5,8,10,6
2516,ENSG00000258673,0,2,1,0,0,0
2517,ENSG00000186150,2,2,2,0,0,0
2518,ENSG00000197106,0,8,26,83,53,46
2519,ENSG00000227091,0,0,0,0,0,1
2520,ENSG00000235526,0,0,0,5,2,1
2521,ENSG00000224965,0,6,3,2,3,2
2522,ENSG00000116396,62,771,1091,1096,1109,637
2523,ENSG00000200536,0,0,0,0,2,0
2524,ENSG00000227963,0,13,19,34,12,16
2525,ENSG000001627751,222,3072,4344,3207,3060,1903
2526,ENSG000001686791,14,178,208,142,117,82
2527,ENSG00000273373,30,370,491,447,374,316
2528,ENSG00000224699,10,70,62,57,50,27
2529,ENSG00000134248,71,954,1474,1367,1121,803
2530,ENSG00000143125,0,1,1,1,1,2
2531,ENSG00000270380,0,0,0,0,0,0
2532,ENSG00000240194,0,0,0,0,0,0
2533,ENSG00000235407,0,7,0,0,1,2
2534,ENSG00000143105,0,0,1,0,0,0
2535,ENSG00000177301,0,16,29,13,14,6
2536,ENSG00000221538,0,0,0,0,0,0
2537,ENSG00000259834,0,14,20,9,13,16
2538,ENSG00000177272,1,18,32,22,18,4
2539,ENSG00000199710,0,0,0,0,0,0
2540,ENSG00000237415,0,11,11,2,2,3
2541,ENSG00000232791,0,0,0,0,0,0
2542,ENSG00000143119,1,32,83,48,32,24
2543,ENSG00000261654,12,43,63,49,22,43
2544,ENSG00000232811,8,83,133,119,56,67
2545,ENSG000001219311,132,1673,2517,1941,1748,1187
2546,ENSG00000273010,0,12,16,13,13,4
2547,ENSG00000225672,0,0,0,0,0,0
2548,ENSG00000252760,0,0,0,0,0,0
2549,ENSG000001561711,136,1508,2293,1936,1650,1119
2550,ENSG00000134255,53,1097,1419,1429,1208,889
2551,ENSG00000272982,0,0,0,0,0,0
2552,ENSG00000273221,0,0,0,0,0,0
2553,ENSG000001627771,0,0,1,2,6,0
2554,ENSG00000064886,0,0,1,3,0,2
2555,ENSG00000236040,0,0,0,0,0,0
2556,ENSG00000203878,0,0,0,0,0,0
2557,ENSG000001342161,0,0,0,2,0,4
2558,ENSG00000229283,0,0,0,0,0,0
2559,ENSG00000232240,0,0,0,0,0,0
2560,ENSG00000173947,8,172,212,301,258,168
2561,ENSG00000234020,0,1,14,11,4,3
2562,ENSG00000236012,0,0,0,0,0,0
2563,ENSG00000227179,0,0,1,0,0,0
2564,ENSG000000854651,4,75,87,76,80,39
2565,ENSG00000260948,11,172,178,163,136,79
2566,ENSG00000233337,3,42,43,29,17,15
2567,ENSG00000243960,0,15,33,27,22,8
2568,ENSG00000116455,69,1269,1768,1525,1471,1022
2569,ENSG00000199890,0,3,1,7,2,1
2570,ENSG00000116459,458,6081,7972,7294,6451,4483
2571,ENSG00000143110,2,29,30,33,20,16
2572,ENSG000001219331,0,1,2,1,2,0
2573,ENSG00000200360,0,0,0,0,0,0
2574,ENSG000001164731,86,1132,1567,1380,1171,986
2575,ENSG00000231346,0,0,4,8,0,3
2576,ENSG00000215867,0,4,4,0,4,0
2577,ENSG00000201028,0,3,0,0,0,1
2578,ENSG00000197852,60,661,869,998,952,667
2579,ENSG00000227811,0,21,31,21,27,14
2580,ENSG00000064703,178,2527,3679,3136,2767,2023
2581,ENSG00000171385,37,383,467,308,262,161
2582,ENSG00000232558,0,0,0,0,0,0
2583,ENSG00000237556,0,0,0,0,0,0
2584,ENSG00000231437,5,15,31,7,16,19
2585,ENSG00000231246,0,3,2,0,3,3
2586,ENSG00000239111,0,0,0,0,0,0
2587,ENSG00000234388,0,0,0,0,0,0
2588,ENSG00000238761,0,0,0,0,0,0
2589,ENSG000001430791,130,1610,2509,2333,2031,1417
2590,ENSG000001342451,21,186,289,419,392,299
2591,ENSG00000273483,0,8,12,6,5,6
2592,ENSG000000073411,52,709,942,771,706,500
2593,ENSG00000116489,417,5584,7991,7176,6491,4452
2594,ENSG00000235299,1,1,7,10,7,5
2595,ENSG00000252750,0,0,4,0,0,1
2596,ENSG00000238975,2,27,30,30,18,27
2597,ENSG000001553631,142,1954,2861,2988,2683,1654
2598,ENSG00000225075,0,6,10,11,10,9
2599,ENSG000001553661,38,406,586,702,681,391
2600,ENSG00000271810,0,0,1,0,2,0
2601,ENSG000001553671,26,341,416,521,497,275
2602,ENSG00000261595,0,0,0,0,0,0
2603,ENSG00000184599,0,10,8,10,9,6
2604,ENSG00000234790,0,0,0,0,0,0
2605,ENSG00000215866,117,1692,2332,1845,1544,1009
2606,ENSG00000224167,0,0,0,2,0,0
2607,ENSG00000228040,0,0,0,0,3,0
2608,ENSG00000155380,1919,26724,36836,28306,26700,17850
2609,ENSG00000229020,11,77,66,65,52,32
2610,ENSG00000226419,33,602,752,764,600,538
2611,ENSG00000236066,5,14,16,21,23,14
2612,ENSG00000238198,6,86,128,98,72,58
2613,ENSG00000198799,186,2277,3383,2662,2269,1767
2614,ENSG00000237278,0,0,0,0,0,0
2615,ENSG00000233839,0,0,0,0,0,0
2616,ENSG00000236887,0,2,0,0,0,0
2617,ENSG000000810261,66,986,1386,943,959,544
2618,ENSG00000232499,15,374,548,608,535,381
2619,ENSG00000238256,0,0,0,0,0,0
2620,ENSG000001167931,230,3067,4486,3001,2565,1808
2621,ENSG00000232450,5,82,147,109,91,64
2622,ENSG00000081019,171,2136,2822,2163,1925,1244
2623,ENSG00000231128,0,0,0,0,6,0
2624,ENSG000001342421,4,1,10,10,6,4
2625,ENSG00000226167,6,42,49,61,29,31
2626,ENSG00000188761,3,11,8,21,5,14
2627,ENSG00000134262,72,834,1115,993,954,637
2628,ENSG00000118655,81,1182,1701,1522,1402,932
2629,ENSG00000235527,3,4,18,12,9,3
2630,ENSG000001633491,440,6496,9009,6840,6087,3919
2631,ENSG00000116774,859,11324,17292,10454,9068,6053
2632,ENSG00000270780,0,6,6,9,16,6
2633,ENSG000001342071,201,2869,3969,2389,2141,1407
2634,ENSG00000232895,0,0,0,0,0,0
2635,ENSG00000271419,0,0,0,0,0,0
2636,ENSG00000197323,698,9786,13714,10414,8962,6207
2637,ENSG00000226984,0,0,2,3,9,2
2638,ENSG00000225650,0,0,0,0,1,0
2639,ENSG00000201114,0,0,0,1,0,0
2640,ENSG00000236480,1,7,15,10,13,4
2641,ENSG00000116752,133,1657,2497,2504,2227,1533
2642,ENSG000001759841,15,281,332,325,259,220
2643,ENSG000001167481,0,0,0,0,0,0
2644,ENSG00000242769,0,0,0,0,0,0
2645,ENSG00000213281,604,8719,12238,9741,8914,6110
2646,ENSG000000093071,4622,63985,90130,75868,68060,47852
2647,ENSG00000201900,1,15,16,16,9,8
2648,ENSG00000052723,487,6264,8583,6756,6000,3871
2649,ENSG00000227970,0,0,0,0,2,0
2650,ENSG00000198765,2,18,15,18,6,4
2651,ENSG00000134200,0,0,0,0,0,0
2652,ENSG00000134198,37,530,738,592,529,356
2653,ENSG00000233730,0,0,2,1,0,0
2654,ENSG00000228035,0,0,1,0,0,0
2655,ENSG00000134259,3,33,81,123,110,89
2656,ENSG00000226973,0,0,0,0,0,0
2657,ENSG00000265534,0,0,0,0,0,0
2658,ENSG00000229101,0,0,2,0,0,0
2659,ENSG00000232185,0,0,0,0,0,0
2660,ENSG00000270631,0,0,0,0,0,0
2661,ENSG00000239984,0,0,0,0,0,0
2662,ENSG00000207502,0,0,0,0,0,0
2663,ENSG000001732181,238,3409,4465,3695,3421,2198
2664,ENSG000001187291,0,0,0,0,0,0
2665,ENSG00000177551,11,255,376,458,394,262
2666,ENSG00000214204,0,0,2,1,5,1
2667,ENSG00000271143,0,0,2,0,0,0
2668,ENSG00000228127,0,8,6,4,3,4
2669,ENSG00000163393,32,561,696,597,443,407
2670,ENSG00000237993,0,1,0,4,2,0
2671,ENSG00000173212,0,4,7,2,0,2
2672,ENSG00000235933,0,0,1,0,2,0
2673,ENSG00000221040,0,0,0,0,0,0
2674,ENSG000001633991,1238,16060,23886,21782,20566,13069
2675,ENSG00000269279,0,0,0,0,0,0
2676,ENSG00000203865,4,61,97,85,61,39
2677,ENSG00000212385,0,6,4,0,2,1
2678,ENSG00000233154,0,1,8,12,5,1
2679,ENSG00000230381,0,0,0,0,0,0
2680,ENSG00000200547,0,0,2,0,0,0
2681,ENSG00000224950,2,10,12,25,12,20
2682,ENSG000001168151,18,225,312,317,223,170
2683,ENSG00000177173,2,17,25,33,24,17
2684,ENSG00000264419,0,1,0,1,0,0
2685,ENSG000001430611,512,5863,8531,6079,5603,3671
2686,ENSG00000238532,0,0,0,0,0,0
2687,ENSG00000211543,0,0,0,0,0,0
2688,ENSG00000203864,0,0,0,0,0,0
2689,ENSG00000231072,0,2,0,0,0,3
2690,ENSG00000223489,0,0,1,0,0,0
2691,ENSG00000116824,0,0,0,0,0,2
2692,ENSG00000225079,0,0,0,0,2,0
2693,ENSG00000221425,0,0,0,0,0,0
2694,ENSG00000272715,0,7,11,6,2,2
2695,ENSG00000134247,420,5103,7343,6263,5800,3827
2696,ENSG00000252510,0,0,0,1,1,0
2697,ENSG00000134256,6,90,149,79,93,60
2698,ENSG00000236137,1,11,36,16,16,11
2699,ENSG00000116830,454,5985,8430,7216,6445,4349
2700,ENSG00000215930,0,0,3,2,1,0
2701,ENSG00000134253,102,1325,1745,1593,1341,970
2702,ENSG00000228453,0,0,0,0,0,0
2703,ENSG000001342581,0,4,4,10,3,0
2704,ENSG00000235202,0,0,0,0,0,0
2705,ENSG00000271427,0,12,16,9,20,9
2706,ENSG00000198162,221,3243,4570,3321,3005,2192
2707,ENSG00000226755,0,0,0,0,0,0
2708,ENSG00000236866,0,0,0,1,0,0
2709,ENSG00000183508,36,550,769,717,673,387
2710,ENSG00000213262,0,0,0,0,0,0
2711,ENSG00000212266,0,0,0,0,0,0
2712,ENSG00000270719,0,0,0,0,0,0
2713,ENSG00000228217,7,34,26,45,20,23
2714,ENSG00000196505,111,1510,2169,1685,1501,1114
2715,ENSG000000651831,405,6040,8245,8517,7129,5120
2716,ENSG00000155761,1,33,27,33,46,22
2717,ENSG00000222209,0,0,0,0,0,0
2718,ENSG00000226126,0,0,0,1,0,0
2719,ENSG00000229911,0,0,0,0,0,0
2720,ENSG00000092607,64,939,1240,895,889,517
2721,ENSG00000226172,0,0,0,2,0,0
2722,ENSG00000239216,0,0,0,0,0,0
2723,ENSG00000116874,43,503,795,610,574,394
2724,ENSG00000224238,0,2,6,4,3,4
2725,ENSG00000223575,0,5,0,4,4,3
2726,ENSG00000236804,0,0,2,2,0,5
2727,ENSG00000231365,15,244,306,333,235,135
2728,ENSG00000227056,0,0,0,2,0,2
2729,ENSG00000238679,0,0,0,0,0,0
2730,ENSG00000227712,2,8,7,3,0,0
2731,ENSG00000232650,0,0,4,3,9,2
2732,ENSG00000194297,0,0,1,1,0,0
2733,ENSG000001168821,0,4,0,0,4,4
2734,ENSG00000230921,0,0,0,0,0,0
2735,ENSG00000203859,0,0,1,0,0,0
2736,ENSG00000232780,0,0,0,0,2,0
2737,ENSG00000203858,0,0,0,0,0,0
2738,ENSG00000235595,0,0,3,0,0,0
2739,ENSG00000187481,0,0,0,1,0,0
2740,ENSG00000229570,0,0,0,0,0,0
2741,ENSG00000203857,0,0,0,0,0,0
2742,ENSG00000226443,0,2,4,2,5,0
2743,ENSG00000249798,0,0,2,1,0,0
2744,ENSG00000239873,0,0,0,0,0,0
2745,ENSG00000203855,1,5,18,1,4,2
2746,ENSG00000240244,0,0,2,0,5,4
2747,ENSG00000260941,5,53,62,55,71,33
2748,ENSG00000198857,2,65,66,47,51,15
2749,ENSG00000143067,222,3547,4895,5075,4680,3106
2750,ENSG00000092621,3308,44758,62384,40994,38030,25511
2751,ENSG00000134240,0,0,0,0,0,0
2752,ENSG000001341931,0,5,2,2,4,2
2753,ENSG00000215864,0,0,0,0,0,0
2754,ENSG00000227205,0,0,0,1,0,0
2755,ENSG00000226446,0,0,0,0,0,0
2756,ENSG00000134249,0,0,0,0,0,0
2757,ENSG00000261662,2,15,25,19,15,11
2758,ENSG000001342501,425,5580,8218,7631,6940,4432
2759,ENSG00000273406,0,0,0,0,0,0
2760,ENSG00000207149,0,0,0,0,0,0
2761,ENSG00000273131,0,0,4,6,6,8
2762,ENSG00000236933,0,2,9,4,2,0
2763,ENSG00000188610,8,181,112,91,101,54
2764,ENSG00000227193,0,0,0,0,0,0
2765,ENSG00000268993,0,0,0,0,0,0
2766,ENSG00000213244,0,1,0,0,0,0
2767,ENSG00000223345,0,2,0,1,0,7
2768,ENSG00000234998,0,0,0,0,0,0
2769,ENSG00000233029,0,0,0,0,0,0
2770,ENSG00000198019,0,0,0,0,0,0
2771,ENSG00000230806,0,0,0,0,0,0
2772,ENSG00000171943,0,2,0,0,0,0
2773,ENSG00000269996,0,2,7,0,2,4
2774,ENSG00000227082,0,3,0,0,4,0
2775,ENSG00000231429,0,0,0,0,0,0
2776,ENSG00000228826,0,0,0,0,0,0
2777,ENSG00000233432,0,0,0,0,0,0
2778,ENSG00000272583,0,0,0,0,0,0
2779,ENSG00000231752,0,0,4,3,1,1
2780,ENSG00000224857,0,0,0,0,0,0
2781,ENSG00000227552,0,0,0,0,0,0
2782,ENSG00000233798,0,0,0,0,0,0
