Geneid	X_filesTien_Cont1_S25sorted	X_filesTien_Cont2_S26sorted	X_filesTien_Cont3_S27sorted	X_filesTien_Zn1_S28sorted	X_filesTien_Zn2_S29sorted	X_filesTien_Zn3_S30sorted
EGOT	0.0	0.0	0.0	0.0	2.0	2.0
EGR1	34.0	364.0	591.0	950.0	789.0	607.0
EGR2	0.0	7.0	23.0	11.0	14.0	11.0
EGR3	1.0	71.0	68.0	55.0	69.0	60.0
EGR4	0.0	0.0	0.0	1.0	0.0	0.0
EHBP1L1	97.0	1232.0	1502.0	1351.0	1187.0	778.0
EHD2	40.0	723.0	1092.0	969.0	838.0	617.0
EHD4	130.0	1598.0	2159.0	1849.0	1766.0	1125.0
EHF	0.0	6.0	10.0	7.0	9.0	8.0
EHHADH	45.0	549.0	835.0	609.0	514.0	325.0
EHHADH-AS1	0.0	0.0	0.0	0.0	0.0	0.0
EHMT2	0.0	5.0	17.0	5.0	0.0	0.0
EHMT2-AS1	0.0	0.0	1.0	0.0	0.0	0.0
EI24P1	0.0	1.0	1.0	0.0	1.0	0.0
EI24P2	0.0	6.0	6.0	2.0	6.0	4.0
EI24P3	0.0	0.0	0.0	1.0	1.0	0.0
EI24P4	0.0	0.0	0.0	0.0	0.0	0.0
EID1	0.0	0.0	0.0	0.0	0.0	0.0
EID2	52.0	773.0	1249.0	946.0	793.0	585.0
EID2B	6.0	85.0	121.0	106.0	91.0	59.0
EID3	0.0	17.0	28.0	11.0	23.0	3.0
EIF1	476.0	6774.0	9307.0	8232.0	7682.0	5391.0
EIF1AD	61.0	808.0	1133.0	995.0	810.0	613.0
EIF1AX	692.0	9556.0	13398.0	10765.0	9448.0	6540.0
EIF1AX-AS1	0.0	7.0	1.0	4.0	4.0	4.0
EIF1AXP1	28.0	494.0	691.0	532.0	475.0	358.0
EIF1AXP2	0.0	0.0	0.0	0.0	0.0	0.0
EIF1AY	93.0	1561.0	2277.0	2032.0	1773.0	1278.0
EIF1B	255.0	3676.0	5179.0	4743.0	4511.0	3469.0
EIF2A	216.0	2987.0	4219.0	3600.0	3296.0	2215.0
EIF2AK1	579.0	8035.0	11650.0	10507.0	9239.0	6238.0
EIF2AK3	80.0	1010.0	1556.0	1277.0	1115.0	801.0
EIF2AK4	249.0	2915.0	4018.0	3634.0	3205.0	2173.0
EIF2AP4	0.0	0.0	0.0	0.0	0.0	0.0
EIF2B1	183.0	2046.0	2868.0	2356.0	2037.0	1607.0
EIF2B2	68.0	839.0	1145.0	943.0	896.0	603.0
EIF2B5	161.0	2041.0	2713.0	2301.0	1980.0	1536.0
EIF2B5-AS1	0.0	0.0	1.0	1.0	0.0	2.0
EIF2B5-IT1	0.0	0.0	0.0	0.0	0.0	0.0
EIF2S1	197.0	2690.0	4144.0	3851.0	3508.0	2468.0
EIF2S2	801.0	11190.0	16014.0	14456.0	12687.0	9337.0
EIF2S2P2	0.0	0.0	12.0	4.0	19.0	4.0
EIF2S2P3	0.0	20.0	23.0	22.0	25.0	8.0
EIF2S2P4	46.0	509.0	654.0	671.0	590.0	413.0
EIF2S2P5	0.0	0.0	0.0	0.0	1.0	0.0
EIF2S3	1786.0	23390.0	32118.0	26187.0	23228.0	16227.0
EIF2S3L	94.0	1322.0	1887.0	1548.0	1381.0	1017.0
EIF3A	2194.0	29472.0	42115.0	37088.0	32811.0	23065.0
EIF3CL	69.0	668.0	1284.0	4790.0	1922.0	489.0
EIF3E	895.0	13265.0	19143.0	16043.0	14065.0	9981.0
EIF3EP1	1.0	33.0	34.0	29.0	56.0	38.0
EIF3EP2	0.0	0.0	0.0	0.0	0.0	0.0
EIF3F	702.0	9840.0	13937.0	11514.0	10666.0	6474.0
EIF3FP1	0.0	0.0	2.0	0.0	0.0	1.0
EIF3FP3	90.0	1156.0	1728.0	1510.0	1445.0	960.0
EIF3G	690.0	9321.0	12461.0	11405.0	10001.0	7137.0
EIF3H	547.0	8033.0	11264.0	9780.0	8563.0	6207.0
EIF3I	724.0	9850.0	13606.0	11430.0	10629.0	7080.0
