Geneid	X_filesTien_Cont1_S25sorted	X_filesTien_Cont2_S26sorted	X_filesTien_Cont3_S27sorted	X_filesTien_Zn1_S28sorted	X_filesTien_Zn2_S29sorted	X_filesTien_Zn3_S30sorted
5S_rRNA	0.42857142857142855	0.8571428571428571	0.5714285714285714	0.42857142857142855	0.7142857142857143	0.5714285714285714
7SK	0.5714285714285714	11.428571428571429	18.285714285714285	10.571428571428571	17.857142857142858	7.714285714285714
A1BG	2.0	10.0	16.0	4.0	9.0	5.0
A1BG-AS1	7.0	24.0	46.0	59.0	30.0	20.0
A2M-AS1	2.0	76.0	95.0	48.0	35.0	25.0
A2ML1-AS1	2.0	37.0	30.0	28.0	26.0	17.0
A2ML1-AS2	3.0	12.0	17.0	8.0	9.0	15.0
A2MP1	2.0	16.0	32.0	23.0	12.0	23.0
A3GALT2	0.0	1.0	5.0	4.0	0.0	5.0
A4GNT	0.0	8.0	1.0	3.0	2.0	1.0
AAAS	188.0	2711.0	3916.0	3135.0	2921.0	2013.0
AACSP1	0.0	4.0	1.0	0.0	0.0	5.0
AADAC	0.0	0.0	0.0	0.0	0.0	0.0
AADACL2	0.0	0.0	0.0	0.0	0.0	0.0
AADACL3	8.0	81.0	133.0	115.0	108.0	81.0
AADACL4	0.0	0.0	0.0	0.0	0.0	0.0
AADAT	35.0	753.0	937.0	982.0	859.0	544.0
AAED1	39.0	498.0	789.0	663.0	573.0	414.0
AAGAB	196.0	2633.0	3592.0	3132.0	2876.0	2197.0
AAMP	335.0	4123.0	5994.0	5321.0	4729.0	3336.0
AANAT	0.0	17.0	25.0	19.0	12.0	23.0
AAR2	140.0	1749.0	2396.0	2152.0	1733.0	1276.0
AARD	0.0	43.0	68.0	39.0	43.0	42.0
AARS2	149.0	2252.0	3158.0	2477.0	2217.0	1440.0
AARSD1	3.0	70.0	96.0	150.0	132.0	88.0
AASDH	54.0	712.0	1086.0	802.0	698.0	413.0
AASDHPPT	126.0	1851.0	2712.0	2183.0	1991.0	1241.0
AATF	251.0	3351.0	4562.0	4024.0	3537.0	2596.0
AATK	5.0	90.0	106.0	100.0	79.0	63.0
AATK-AS1	0.0	5.0	14.0	10.0	2.0	4.0
AB015752.3	0.0	0.0	2.0	0.0	0.0	0.0
AB019438.66	0.0	0.0	0.0	0.0	0.0	0.0
AB019440.1	0.0	0.0	0.0	0.0	0.0	0.0
AB019440.50	0.0	0.0	0.0	0.0	0.0	0.0
AB019441.29	0.0	3.0	10.0	5.0	10.0	7.0
ABAT	37.0	672.0	1003.0	459.0	459.0	300.0
ABC12-47043100G14.2	0.0	0.0	0.0	0.0	0.0	0.0
ABC7-42389800N19.1	21.0	77.0	81.0	204.0	133.0	52.0
ABC7-43041300I9.1	0.0	1.0	0.0	0.0	2.0	0.0
ABCA11P	0.0	4.0	0.0	2.0	3.0	0.0
ABCA17P	0.0	47.0	44.0	32.0	34.0	20.0
ABCA3	131.0	1927.0	2647.0	2077.0	1935.0	1249.0
ABCA4	10.0	167.0	213.0	243.0	201.0	127.0
ABCA6	0.0	2.0	0.0	0.0	0.0	2.0
ABCA7	49.0	646.0	779.0	626.0	560.0	409.0
ABCA8	0.0	12.0	12.0	8.0	11.0	9.0
ABCA9-AS1	2.0	2.0	5.0	5.0	5.0	6.0
ABCB10	94.0	1546.0	2161.0	1852.0	1521.0	1047.0
ABCB10P1	0.0	5.0	7.0	2.0	0.0	1.0
ABCB10P3	0.0	0.0	0.0	0.0	0.0	0.0
ABCB10P4	0.0	0.0	0.0	0.0	0.0	0.0
ABCB11	0.0	4.0	1.0	0.0	8.0	0.0
ABCB6	13.0	146.0	227.0	234.0	216.0	194.0
ABCB8	74.0	1010.0	1358.0	1050.0	1017.0	612.0
ABCC13	0.0	2.0	1.0	0.0	0.0	1.0
ABCC2	6.0	48.0	93.0	132.0	114.0	88.0
ABCC4	100.0	1032.0	1503.0	1544.0	1322.0	887.0
ABCC5-AS1	0.0	0.0	1.0	0.0	1.0	0.0
ABCC6P1	1.0	24.0	13.0	26.0	9.0	9.0
ABCC6P2	2.0	6.0	20.0	13.0	6.0	6.0
ABCC8	1.0	21.0	37.0	12.0	20.0	12.0
ABCC9	0.0	0.0	4.0	3.0	1.0	3.0
ABCD1	0.0	13.0	20.0	8.0	32.0	18.0
ABCD1P2	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1P3	0.0	0.0	0.0	1.0	0.0	0.0
ABCD1P4	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1P5	0.0	0.0	0.0	0.0	0.0	1.0
ABCD2	0.0	0.0	8.0	4.0	4.0	0.0
ABCD3	234.0	2648.0	3768.0	3316.0	2926.0	2200.0
ABCE1	328.0	4033.0	5529.0	5173.0	4707.0	3228.0
ABCF1	0.0	160.0	26.0	40.0	12.0	14.0
ABCF2	230.0	2616.0	3964.0	3534.0	3491.0	2362.0
ABCF2P1	0.0	2.0	3.0	2.0	6.0	2.0
ABCF2P2	0.0	0.0	0.0	0.0	0.0	0.0
ABCF3	118.0	1448.0	2063.0	1743.0	1630.0	1169.0
ABCG2	62.0	697.0	1116.0	805.0	813.0	540.0
ABCG4	10.0	125.0	210.0	139.0	142.0	116.0
ABCG5	0.0	0.0	6.0	4.0	5.0	1.0
ABCG8	0.0	0.0	1.0	0.0	2.0	0.0
ABHD1	0.0	13.0	17.0	11.0	10.0	7.0
ABHD10	126.0	1559.0	1933.0	1739.0	1534.0	1063.0
ABHD13	68.0	1163.0	1528.0	1203.0	1065.0	721.0
ABHD14A	6.0	79.0	119.0	105.0	101.0	64.0
ABHD15	12.0	91.0	201.0	179.0	147.0	98.0
ABHD16A	0.0	0.0	0.0	0.0	0.0	0.0
ABHD16B	14.0	194.0	288.0	206.0	152.0	113.0
ABHD17AP1	0.0	0.0	4.0	0.0	0.0	2.0
ABHD17AP2	0.0	4.0	3.0	10.0	4.0	4.0
ABHD17AP3	2.0	60.0	56.0	51.0	71.0	55.0
ABHD17AP4	2.0	4.0	2.0	0.0	9.0	0.0
ABHD17AP5	0.0	2.0	5.0	3.0	1.0	0.0
ABHD17AP6	1.0	11.0	3.0	0.0	7.0	4.0
ABHD17B	119.0	1685.0	2335.0	1668.0	1572.0	916.0
ABHD17C	81.0	1179.0	1825.0	1491.0	1338.0	997.0
ABHD3	18.0	339.0	518.0	410.0	364.0	288.0
ABHD4	98.0	1321.0	1950.0	1326.0	1208.0	760.0
ABHD5	59.0	601.0	973.0	720.0	669.0	450.0
ABHD6	49.0	614.0	929.0	755.0	694.0	440.0
ABHD8	42.0	713.0	852.0	687.0	597.0	408.0
ABI3	2.0	103.0	145.0	129.0	117.0	86.0
ABO	0.0	8.0	5.0	2.0	0.0	0.0
ABRA	0.0	0.0	0.0	0.0	0.0	0.0
ABRACL	116.0	1579.0	2313.0	2112.0	1996.0	1252.0
ABT1	4.0	113.0	29.0	25.0	13.0	8.0
ABT1P1	0.0	2.0	0.0	0.0	0.0	0.0
ABTB2	75.0	843.0	1299.0	1167.0	948.0	586.0
AC000003.1	0.0	0.0	0.0	0.0	0.0	0.0
AC000003.2	0.0	0.0	1.0	4.0	1.0	0.0
AC000029.1	0.0	0.0	0.0	0.0	0.0	0.0
AC000032.2	0.0	0.0	0.0	1.0	0.0	2.0
AC000036.4	0.0	0.0	0.0	4.0	0.0	2.0
AC000041.8	0.0	0.0	0.0	0.0	0.0	0.0
AC000067.1	0.0	0.0	0.0	0.0	0.0	0.0
AC000068.10	0.0	0.0	4.0	1.0	2.0	0.0
AC000068.5	1.0	17.0	20.0	12.0	16.0	10.0
AC000068.9	0.0	0.0	0.0	0.0	0.0	0.0
AC000077.2	0.0	0.0	0.0	0.0	0.0	0.0
AC000078.5	0.0	4.0	5.0	2.0	2.0	1.0
AC000081.2	0.0	0.0	0.0	0.0	0.0	0.0
AC000089.3	4.0	61.0	86.0	88.0	75.0	46.0
AC000095.9	0.0	0.0	0.0	0.0	0.0	0.0
AC000099.1	0.0	0.0	1.0	0.0	0.0	2.0
AC000110.1	0.0	0.0	0.0	1.0	0.0	3.0
AC000111.3	0.0	0.0	0.0	0.0	0.0	0.0
AC000111.4	0.0	0.0	1.0	0.0	0.0	0.0
AC000111.5	0.0	0.0	0.0	0.0	0.0	0.0
AC000111.6	0.0	0.0	0.0	0.0	0.0	0.0
AC000120.7	0.0	23.0	20.0	14.0	20.0	19.0
AC000123.4	0.0	10.0	10.0	12.0	4.0	6.0
AC000124.1	0.0	1.0	0.0	0.0	0.0	0.0
AC000362.1	0.0	0.0	0.0	0.0	0.0	0.0
AC000367.1	0.0	2.0	2.0	1.0	7.0	0.0
AC000370.2	0.0	0.0	0.0	0.0	0.0	0.0
AC000374.1	0.0	0.0	0.0	1.0	0.0	0.0
AC000403.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002044.4	0.0	1.0	0.0	1.0	3.0	2.0
AC002056.3	0.0	44.0	91.0	73.0	50.0	51.0
AC002056.5	0.0	0.0	0.0	0.0	0.0	0.0
AC002059.10	2.0	5.0	5.0	3.0	1.0	1.0
AC002064.4	1.0	3.0	7.0	6.0	10.0	5.0
AC002064.5	0.0	0.0	0.0	0.0	0.0	0.0
AC002066.1	0.0	0.0	1.0	2.0	0.0	0.0
AC002066.2	0.0	0.0	0.0	0.0	0.0	0.0
AC002069.5	0.0	0.0	2.0	1.0	0.0	0.0
AC002069.6	0.0	0.0	0.0	0.0	0.0	0.0
AC002070.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002075.3	1.0	3.0	1.0	0.0	0.0	1.0
AC002075.4	1.0	8.0	6.0	19.0	5.0	7.0
AC002076.10	0.0	15.0	10.0	9.0	10.0	5.0
AC002115.5	0.0	1.0	7.0	1.0	0.0	2.0
AC002115.9	0.0	0.0	0.0	2.0	0.0	0.0
AC002116.7	1.0	21.0	34.0	24.0	20.0	13.0
AC002116.8	0.0	0.0	0.0	0.0	0.0	0.0
AC002117.1	1.0	10.0	16.0	7.0	6.0	2.0
AC002127.2	0.0	0.0	0.0	0.0	0.0	0.0
AC002127.4	0.0	0.0	0.0	0.0	0.0	0.0
AC002128.5	9.0	9.0	42.0	27.0	9.0	18.0
AC002306.1	0.0	0.0	1.0	0.0	2.0	3.0
AC002310.10	0.0	6.0	17.0	9.0	7.0	5.0
AC002310.12	0.0	57.0	79.0	72.0	78.0	43.0
AC002310.13	0.0	0.0	0.0	0.0	0.0	0.0
AC002310.17	0.0	26.0	24.0	13.0	25.0	11.0
AC002310.7	0.0	2.0	2.0	2.0	6.0	1.0
AC002314.4	0.0	0.0	1.0	1.0	0.0	0.0
AC002331.1	0.0	3.0	4.0	19.0	18.0	10.0
AC002365.1	2.0	7.0	10.0	11.0	8.0	5.0
AC002366.3	0.0	0.0	0.0	0.0	0.0	0.0
AC002368.4	0.0	0.0	0.0	1.0	0.0	0.0
AC002383.2	0.0	0.0	0.0	0.0	0.0	0.0
AC002386.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002395.1	0.0	1.0	0.0	0.0	0.0	0.0
AC002398.11	1.0	14.0	20.0	8.0	11.0	8.0
AC002398.12	0.0	0.0	0.0	0.0	0.0	0.0
AC002398.13	0.0	4.0	3.0	2.0	0.0	5.0
AC002398.5	0.0	0.0	0.0	2.0	0.0	0.0
AC002398.9	0.0	0.0	0.0	0.0	0.0	0.0
AC002400.1	0.0	0.0	4.0	6.0	3.0	5.0
AC002401.1	0.0	3.0	1.0	1.0	0.0	0.0
AC002429.4	0.0	0.0	0.0	0.0	0.0	0.0
AC002429.5	0.0	5.0	9.0	2.0	0.0	0.0
AC002451.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002451.3	0.0	0.0	0.0	0.0	0.0	0.0
AC002454.1	0.0	0.0	0.0	1.0	4.0	0.0
AC002456.2	0.0	18.0	38.0	39.0	21.0	21.0
AC002463.3	0.0	0.0	0.0	0.0	0.0	0.0
AC002465.2	0.0	0.0	0.0	0.0	0.0	0.0
AC002467.7	6.0	35.0	71.0	36.0	48.0	28.0
AC002472.1	0.0	0.0	4.0	4.0	1.0	9.0
AC002472.11	0.0	0.0	0.0	0.0	0.0	0.0
AC002472.13	0.0	0.0	2.0	9.0	5.0	2.0
AC002477.1	0.0	14.0	14.0	8.0	6.0	3.0
AC002480.2	4.0	33.0	42.0	44.0	19.0	30.0
AC002480.3	3.0	46.0	70.0	90.0	71.0	61.0
AC002480.4	2.0	39.0	62.0	54.0	55.0	25.0
AC002480.5	0.0	0.0	1.0	0.0	2.0	1.0
AC002485.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002486.2	0.0	0.0	0.0	0.0	0.0	0.0
AC002486.3	0.0	0.0	0.0	0.0	1.0	0.0
AC002511.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002511.2	0.0	0.0	0.0	0.0	0.0	0.0
AC002511.3	0.0	0.0	0.0	0.0	0.0	0.0
AC002519.6	0.0	1.0	1.0	0.0	3.0	0.0
AC002519.8	0.0	0.0	0.0	0.0	0.0	0.0
AC002523.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002539.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002539.2	0.0	0.0	0.0	0.0	0.0	0.0
AC002542.2	0.0	0.0	0.0	0.0	0.0	0.0
AC002543.2	0.0	8.0	7.0	9.0	9.0	0.0
AC002550.5	0.0	8.0	8.0	2.0	9.0	6.0
AC002551.1	0.0	0.0	0.0	4.0	6.0	0.0
AC002553.1	0.0	5.0	10.0	9.0	4.0	1.0
AC002553.4	0.0	0.0	0.0	1.0	4.0	0.0
AC002558.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002978.1	0.0	0.0	0.0	0.0	0.0	2.0
AC002979.1	0.0	0.0	1.0	2.0	0.0	2.0
AC002981.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002984.2	0.0	2.0	0.0	4.0	0.0	0.0
AC002985.3	0.0	0.0	0.0	0.0	0.0	0.0
AC002992.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002994.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003001.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003002.4	0.0	0.0	0.0	0.0	0.0	0.0
AC003002.6	0.0	0.0	3.0	2.0	0.0	1.0
AC003003.5	0.0	45.0	54.0	44.0	32.0	29.0
AC003005.2	0.0	2.0	8.0	2.0	1.0	1.0
AC003005.4	0.0	0.0	0.0	0.0	0.0	0.0
AC003006.1	0.0	1.0	3.0	0.0	0.0	2.0
AC003006.7	0.0	0.0	0.0	0.0	0.0	0.0
AC003009.1	4.0	4.0	12.0	8.0	0.0	0.0
AC003009.2	0.0	0.0	0.0	0.0	0.0	0.0
AC003029.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003035.1	1.0	0.0	0.0	0.0	0.0	0.0
AC003043.1	0.0	1.0	0.0	0.0	0.0	0.0
AC003045.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003051.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003075.4	1.0	3.0	3.0	2.0	2.0	0.0
AC003079.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003080.4	0.0	0.0	4.0	2.0	2.0	0.0
AC003084.2	0.0	0.0	0.0	0.0	0.0	0.0
AC003088.1	0.0	0.0	0.0	1.0	0.0	4.0
AC003090.1	0.0	6.0	6.0	1.0	3.0	8.0
AC003092.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003092.2	0.0	0.0	0.0	0.0	0.0	0.0
AC003101.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003102.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003102.3	3.0	74.0	67.0	95.0	56.0	44.0
AC003104.1	0.0	0.0	2.0	6.0	0.0	2.0
AC003658.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003664.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003665.1	5.0	41.0	55.0	49.0	25.0	17.0
AC003666.1	0.0	0.0	3.0	0.0	0.0	0.0
AC003681.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003682.16	0.0	9.0	8.0	4.0	4.0	6.0
AC003682.17	0.0	0.0	2.0	7.0	0.0	5.0
AC003956.1	0.0	0.0	4.0	6.0	3.0	3.0
AC003958.2	0.0	0.0	0.0	0.0	0.0	0.0
AC003958.6	0.0	0.0	0.0	0.0	0.0	0.0
AC003968.1	0.0	0.0	3.0	0.0	0.0	0.0
AC003973.1	2.0	0.0	1.0	3.0	1.0	1.0
AC003973.4	0.0	0.0	0.0	0.0	2.0	2.0
AC003973.5	0.0	0.0	0.0	0.0	1.0	1.0
AC003973.6	0.0	5.0	9.0	3.0	9.0	15.0
AC003984.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003985.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003986.5	0.0	0.0	2.0	0.0	2.0	0.0
AC003986.6	7.0	17.0	21.0	14.0	18.0	10.0
AC003986.7	0.0	1.0	3.0	3.0	3.0	5.0
AC003988.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003989.3	0.0	0.0	1.0	2.0	0.0	0.0
AC003989.4	0.0	2.0	1.0	0.0	0.0	2.0
AC003991.3	0.0	0.0	0.0	0.0	0.0	1.0
AC004000.1	1.0	4.0	4.0	1.0	0.0	3.0
AC004004.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004006.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004009.3	0.0	0.0	0.0	0.0	2.0	0.0
AC004012.1	0.0	0.0	3.0	0.0	2.0	0.0
AC004014.3	0.0	0.0	0.0	0.0	0.0	0.0
AC004014.4	0.0	2.0	0.0	0.0	0.0	1.0
AC004016.1	0.0	0.0	0.0	0.0	2.0	0.0
AC004016.2	0.0	3.0	0.0	2.0	4.0	0.0
AC004017.1	0.0	15.0	19.0	9.0	12.0	9.0
AC004019.10	1.0	9.0	14.0	7.0	12.0	8.0
AC004019.13	2.0	0.0	8.0	18.0	11.0	4.0
AC004019.18	0.0	0.0	0.0	0.0	0.0	0.0
AC004022.7	0.0	0.0	0.0	0.0	0.0	0.0
AC004022.8	0.0	0.0	0.0	2.0	0.0	0.0
AC004041.2	0.0	3.0	4.0	5.0	6.0	6.0
AC004051.2	0.0	7.0	9.0	9.0	4.0	12.0
AC004052.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004053.1	0.0	1.0	8.0	0.0	0.0	0.0
AC004054.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004057.1	126.0	639.0	900.0	806.0	637.0	505.0
AC004062.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004063.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004066.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004066.3	0.0	0.0	0.0	0.0	0.0	0.0
AC004067.5	0.0	7.0	25.0	23.0	14.0	10.0
AC004069.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004069.2	0.0	22.0	32.0	35.0	36.0	15.0
AC004070.1	0.0	0.0	0.0	2.0	0.0	0.0
AC004074.3	14.0	72.0	115.0	80.0	85.0	45.0
AC004074.4	0.0	0.0	0.0	0.0	0.0	0.0
AC004076.7	0.0	1.0	0.0	0.0	1.0	1.0
AC004076.9	0.0	1.0	2.0	1.0	1.0	2.0
AC004079.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004112.4	1.0	1.0	4.0	4.0	5.0	7.0
AC004112.5	0.0	0.0	0.0	0.0	0.0	0.0
AC004112.7	0.0	2.0	0.0	0.0	0.0	0.0
AC004125.3	0.0	0.0	0.0	0.0	0.0	0.0
AC004129.7	0.0	0.0	0.0	0.0	0.0	0.0
AC004129.9	0.0	0.0	0.0	0.0	0.0	0.0
AC004156.3	0.0	5.0	1.0	5.0	2.0	5.0
AC004158.2	5.0	134.0	141.0	150.0	100.0	108.0
AC004158.3	1.0	9.0	5.0	10.0	6.0	7.0
AC004159.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004160.4	0.0	0.0	0.0	1.0	0.0	1.0
AC004166.6	0.0	0.0	1.0	4.0	1.0	2.0
AC004221.2	0.0	17.0	21.0	14.0	12.0	9.0
AC004231.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004237.1	0.0	1.0	0.0	0.0	0.0	0.0
AC004257.1	0.0	4.0	9.0	6.0	3.0	5.0
AC004257.3	3.0	51.0	110.0	99.0	90.0	54.0
AC004381.7	0.0	0.0	0.0	0.0	0.0	0.0
AC004383.3	0.0	4.0	18.0	13.0	5.0	13.0
AC004386.3	0.0	0.0	0.0	0.0	0.0	0.0
AC004386.4	0.0	1.0	2.0	5.0	2.0	1.0
AC004410.3	1.0	4.0	6.0	14.0	3.0	1.0
AC004447.2	36.0	601.0	787.0	757.0	653.0	467.0
AC004448.2	0.0	1.0	0.0	2.0	0.0	0.0
AC004448.5	2.0	3.0	5.0	3.0	0.0	1.0
AC004449.6	0.0	6.0	15.0	14.0	4.0	11.0
AC004453.8	8.0	181.0	222.0	261.0	249.0	160.0
AC004458.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004460.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004461.4	0.0	1.0	2.0	0.0	0.0	0.0
AC004463.6	0.0	0.0	0.0	0.0	0.0	0.0
AC004466.1	0.0	0.0	4.0	1.0	5.0	0.0
AC004471.10	0.0	5.0	6.0	3.0	6.0	4.0
AC004471.9	0.0	3.0	4.0	7.0	3.0	1.0
AC004485.3	5.0	22.0	40.0	16.0	19.0	13.0
AC004490.1	0.0	0.0	0.0	2.0	3.0	2.0
AC004492.1	0.0	0.0	0.0	1.0	0.0	4.0
AC004510.3	0.0	0.0	0.0	0.0	0.0	0.0
AC004520.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004528.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004528.4	0.0	1.0	0.0	1.0	2.0	1.0
AC004535.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004538.3	0.0	11.0	16.0	9.0	5.0	15.0
AC004540.4	1.0	63.0	76.0	43.0	22.0	29.0
AC004540.5	20.0	164.0	202.0	137.0	118.0	106.0
AC004543.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004543.2	2.0	21.0	35.0	17.0	13.0	11.0
AC004549.6	1.0	2.0	8.0	6.0	1.0	0.0
AC004552.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004562.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004593.3	0.0	0.0	0.0	1.0	1.0	0.0
AC004595.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004603.4	0.0	11.0	7.0	7.0	9.0	12.0
AC004623.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004637.1	0.0	0.0	3.0	1.0	2.0	0.0
AC004655.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004656.1	0.0	0.0	0.0	0.0	2.0	0.0
AC004673.1	0.0	1.0	1.0	4.0	0.0	1.0
AC004691.5	1.0	2.0	2.0	3.0	3.0	1.0
AC004692.4	4.0	0.0	4.0	1.0	2.0	6.0
AC004692.5	0.0	0.0	0.0	0.0	0.0	0.0
AC004699.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004702.2	0.0	2.0	2.0	0.0	1.0	0.0
AC004706.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004744.3	0.0	0.0	0.0	0.0	0.0	0.0
AC004745.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004769.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004771.1	0.0	2.0	3.0	0.0	0.0	0.0
AC004775.5	0.0	0.0	2.0	0.0	0.0	4.0
AC004791.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004797.1	43.0	317.0	481.0	433.0	376.0	223.0
AC004812.1	0.0	0.0	0.0	2.0	0.0	2.0
AC004817.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004824.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004824.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004832.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004837.3	0.0	0.0	0.0	0.0	0.0	0.0
AC004837.4	0.0	0.0	0.0	0.0	0.0	0.0
AC004837.5	0.0	5.0	5.0	9.0	4.0	5.0
AC004840.8	1.0	10.0	4.0	13.0	16.0	6.0
AC004840.9	4.0	174.0	228.0	158.0	139.0	66.0
AC004851.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004854.4	1.0	8.0	12.0	13.0	11.0	10.0
AC004854.5	0.0	0.0	0.0	1.0	0.0	0.0
AC004862.6	0.0	0.0	0.0	0.0	0.0	0.0
AC004866.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004866.3	0.0	0.0	0.0	0.0	0.0	0.0
AC004869.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004869.3	0.0	0.0	0.0	0.0	0.0	0.0
AC004870.3	0.0	0.0	0.0	0.0	0.0	0.0
AC004870.4	0.0	0.0	0.0	0.0	0.0	0.0
AC004870.5	0.0	0.0	0.0	0.0	0.0	0.0
AC004875.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004878.2	0.0	0.0	0.0	1.0	0.0	0.0
AC004878.3	0.0	0.0	0.0	0.0	0.0	0.0
AC004878.5	0.0	1.0	0.0	0.0	2.0	0.0
AC004878.6	0.0	0.0	0.0	0.0	0.0	1.0
AC004878.7	0.0	1.0	0.0	0.0	0.0	1.0
AC004878.8	0.0	0.0	0.0	0.0	0.0	0.0
AC004889.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004893.10	4.0	13.0	20.0	15.0	11.0	13.0
AC004893.11	6.0	197.0	243.0	207.0	182.0	132.0
AC004895.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004895.4	0.0	8.0	0.0	5.0	0.0	2.0
AC004899.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004899.3	0.0	0.0	4.0	0.0	0.0	0.0
AC004901.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004906.3	2.0	8.0	2.0	4.0	2.0	7.0
AC004911.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004917.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004920.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004920.3	0.0	1.0	2.0	1.0	1.0	0.0
AC004924.1	0.0	10.0	12.0	8.0	6.0	4.0
AC004938.5	0.0	0.0	0.0	0.0	0.0	0.0
AC004941.3	0.0	4.0	2.0	0.0	0.0	0.0
AC004941.5	0.0	2.0	5.0	1.0	2.0	1.0
AC004943.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004945.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004947.2	0.0	0.0	0.0	0.0	2.0	0.0
AC004951.5	4.0	29.0	42.0	38.0	50.0	29.0
AC004951.6	1.0	63.0	101.0	68.0	62.0	69.0
AC004967.7	13.0	166.0	241.0	242.0	188.0	193.0
AC004969.1	0.0	0.0	0.0	1.0	0.0	0.0
AC004980.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004980.10	1.0	25.0	29.0	28.0	11.0	19.0
AC004980.7	15.0	196.0	372.0	241.0	226.0	196.0
AC004980.8	0.0	0.0	0.0	0.0	0.0	0.0
AC004980.9	1.0	0.0	0.0	1.0	2.0	1.0
AC004985.12	1.0	10.0	19.0	11.0	9.0	11.0
AC004987.10	0.0	0.0	0.0	0.0	0.0	0.0
AC004987.9	46.0	304.0	429.0	393.0	390.0	202.0
AC004988.1	0.0	2.0	2.0	7.0	3.0	8.0
AC005000.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005000.2	0.0	0.0	0.0	0.0	0.0	0.0
AC005003.1	35.0	293.0	344.0	183.0	158.0	125.0
AC005007.3	0.0	0.0	3.0	0.0	1.0	0.0
AC005008.2	0.0	0.0	0.0	0.0	0.0	0.0
AC005008.3	0.0	0.0	0.0	0.0	0.0	0.0
