,Geneid,X_filesTien_Cont1_S25sorted,X_filesTien_Cont2_S26sorted,X_filesTien_Cont3_S27sorted,X_filesTien_Zn1_S28sorted,X_filesTien_Zn2_S29sorted,X_filesTien_Zn3_S30sorted
50953,RP11-517A5.6,0,0,0,0,2,0
50954,RP11-396B14.2,0,1,0,0,0,0
50955,RP11-355F22.1,0,0,0,0,0,0
50956,RP11-28B23.1,0,0,3,2,0,2
50957,RP11-667K14.3,0,18,42,31,25,24
50958,RP11-565F19.3,0,0,0,1,0,0
50959,RP11-1055B8.6,0,0,0,0,0,0
50960,RP11-388C12.1,0,4,0,0,0,0
50961,AF001548.6,0,0,0,0,1,2
50962,CTD-2047H16.4,4,47,40,36,39,15
50963,RP11-382B18.3,0,0,0,0,0,0
50964,RP11-473M20.14,33,374,555,398,334,267
50965,RP11-485G7.5,2,20,27,24,19,5
50966,CTD-2034I21.2,6,52,65,55,31,30
50967,RP11-166P13.4,3,4,7,6,6,3
50968,RP11-515O17.2,0,0,0,0,0,0
50969,RP11-567O16.1,0,4,1,10,0,0
50970,RP11-95P2.3,0,13,17,14,11,19
50971,RP11-1113L8.2,0,0,0,0,0,1
50972,RP11-189E14.3,0,0,0,0,0,0
50973,RP5-1107A17.4,0,9,7,5,0,4
50974,ARL2BPP8,0,0,0,0,0,0
50975,CTC-479C5.10,0,19,22,31,27,10
50976,PAGR1,0,0,0,0,0,0
50977,LRRC37A17P,15,104,130,161,92,85
50978,RP11-849I19.1,0,61,29,37,20,18
50979,RP11-1055B8.2,0,0,0,0,0,0
50980,MYZAP,0,0,0,0,0,0
50981,RP11-462G12.4,0,0,0,0,0,0
50982,RP11-333E1.2,0,2,4,9,6,5
50983,RP11-810M2.2,0,0,0,0,0,0
50984,RP11-149I9.2,0,1,0,2,0,0
50985,RP11-542C16.1,0,0,0,0,0,0
50986,RP11-893F2.15,0,1,1,1,5,1
50987,RP11-433P17.2,4,26,36,17,15,9
50988,HNRNPCP4,1,5,9,14,16,8
50989,RP11-504P24.6,0,0,0,0,0,0
50990,RP11-618P13.1,0,0,0,0,0,0
50991,CTD-2318B16.3,0,0,0,1,0,1
50992,RP11-517A5.4,0,0,0,0,0,0
50993,RP11-372K20.1,0,0,0,0,0,0
50994,CTC-479C5.6,0,2,3,1,0,0
50995,CHTF8,0,0,0,0,0,0
50996,RP11-1437A8.7,0,0,0,0,0,0
50997,KYNUP3,0,0,0,0,1,0
50998,RP11-26L20.4,0,0,2,0,0,0
50999,LA16c-306E5.3,0,0,0,0,0,0
51000,ZNF205-AS1,0,17,15,10,8,3
51001,CTD-2561B21.7,0,0,0,0,0,0
51002,RYKP1,1,11,6,12,22,12
51003,RP11-420A6.2,0,0,2,11,4,4
51004,ATP5A1P3,0,7,12,9,3,0
51005,CTD-2135D7.3,0,0,0,0,0,0
51006,RP11-461A8.4,1,56,76,77,48,44
51007,RP11-429K17.1,0,6,3,0,1,0
51008,RP11-109M19.4,0,0,2,0,0,0
51009,RP11-473I1.10,169,2229,3165,2675,2526,1827
51010,RP11-146P2.1,0,0,0,0,0,0
51011,RP11-204E4.3,0,0,0,0,1,0
51012,RP11-65J21.4,0,0,4,2,0,4
51013,CTB-133G6.1,0,6,5,3,1,2
51014,RP11-1055B8.8,0,0,0,0,0,0
51015,CTC-524C5.2,8,104,171,185,151,139
51016,RP11-96D1.10,2,20,28,31,13,28
51017,RP11-293B20.3,0,1,0,0,0,0
51018,RP11-109M19.1,0,0,0,0,2,0
51019,LA16c-325D7.2,2,30,22,20,19,13
51020,RP11-290H9.4,0,0,2,0,0,0
51021,RP5-1029F21.4,0,4,2,1,0,3
51022,RP11-104H15.8,0,0,0,0,0,0
51023,AP005530.2,0,0,0,0,0,0
51024,RP11-166B2.8,1,12,18,12,18,5
51025,RP11-498D10.8,0,4,2,2,0,0
51026,RP11-459C13.1,0,0,0,1,0,0
51027,RP11-530N7.3,0,8,14,17,10,6
51028,RP11-429O1.1,0,0,0,0,0,0
51029,RP11-498D10.6,1,62,61,47,44,37
51030,RP11-388C12.5,0,0,1,1,0,2
51031,LA16c-325D7.1,0,0,0,0,0,0
51032,RP11-266L9.6,0,14,10,20,0,10
51033,TAPT1-AS1,16,213,239,288,188,151
51034,CTC-508F8.1,0,0,3,0,0,0
51035,AF001548.5,1,30,62,30,25,16
51036,RP11-1277H1.3,0,0,0,0,0,0
51037,RP11-235E17.3,0,1,0,9,0,5
51038,RP1-4G17.2,0,0,0,0,0,0
51039,RP11-388M20.7,0,0,1,2,0,1
51040,RP1-59D14.5,4,64,92,91,74,45
51041,RP11-13N13.2,5,16,11,29,27,6
51042,MIR4329,0,0,0,0,0,0
51043,MIR5011,0,0,0,0,0,0
51044,AKR1B10P2,0,0,0,0,0,0
51045,AL133167.1,0,0,0,0,0,0
51046,RN7SL134P,0,0,0,0,0,0
51047,MIR378H,1,1,3,3,1,2
51048,MIR5702,0,0,0,0,0,0
51049,AC021052.1,0,0,0,0,0,0
51050,AC123788.1,0,0,0,0,0,0
51051,RP11-720N19.1,0,2,4,0,3,0
51052,RP11-640N20.9,2,19,16,14,19,5
51053,RP11-68I3.5,0,0,4,2,4,1
51054,AP000673.1,0,1,1,0,0,0
51055,MIR548AO,0,0,0,0,0,0
51056,RP11-822E23.5,0,0,0,0,0,0
51057,AL121875.1,0,0,0,0,0,0
51058,AC019205.1,0,0,0,0,0,0
51059,AC096534.1,0,0,0,0,0,0
51060,MIR5584,0,1,0,0,0,0
51061,RP11-552O4.1,0,0,0,0,0,0
51062,AC005549.1,0,0,0,0,0,0
51063,AL354732.1,0,0,0,0,0,0
51064,AC092798.1,0,0,0,0,0,0
51065,RN7SL358P,0,0,0,1,0,0
