,Geneid,X_filesTien_Cont1_S25sorted,X_filesTien_Cont2_S26sorted,X_filesTien_Cont3_S27sorted,X_filesTien_Zn1_S28sorted,X_filesTien_Zn2_S29sorted,X_filesTien_Zn3_S30sorted
2,TNMD,71,945,1295,815,729,496
3,DPM1,185,2383,3464,3081,2884,2011
4,SCYL3,29,576,706,623,557,351
6,FGR,2,22,43,37,27,22
8,FUCA2,142,1528,2270,1692,1542,1078
9,GCLC,165,2356,3340,2564,2264,1720
14,ENPP4,16,219,334,264,207,135
15,SEMA3F,194,2210,3100,2659,2494,1549
17,ANKIB1,227,3146,4588,3625,3036,2066
21,MYH16,4,37,65,77,36,43
22,BAD,15,130,224,149,164,80
23,LAP3,181,3009,4052,3312,3182,2209
25,HS3ST1,8,52,99,40,72,48
27,WNT16,0,3,2,0,7,1
32,TMEM176A,0,0,0,1,2,0
33,M6PR,931,13197,18866,17169,15271,10653
34,KLHL13,16,249,300,218,204,185
35,CYP26B1,7,195,250,299,282,160
37,DBNDD1,167,2202,2939,2805,2395,1530
44,MTMR7,20,227,364,322,254,189
46,ARF5,252,2956,4264,3332,2944,1992
47,SARM1,0,0,0,29,0,1
48,POLDIP2,0,0,2,4,1,0
49,PLXND1,213,2841,4389,4270,3709,2419
51,CD38,2,18,42,25,8,7
52,FKBP4,1622,22208,30609,29347,27117,18079
58,HSPB6,2,56,79,48,48,27
60,NDUFAB1,285,4340,5828,5551,5191,3870
61,PDK4,0,0,0,7,7,0
62,SLC22A16,0,0,0,0,0,1
63,ZMYND10,0,23,19,30,25,27
65,ARX,0,8,4,4,2,0
66,SLC25A13,378,5671,7766,6502,5901,3853
68,CDC27,252,3046,4115,3205,2925,2046
69,SLC4A1,0,4,9,0,5,1
70,CALCR,0,9,10,9,6,4
72,DVL2,182,2148,2882,2623,2183,1519
73,PRSS22,0,1,16,2,2,4
74,UPF1,681,8835,12868,10444,9320,6083
75,SKAP2,15,152,251,138,80,76
76,SLC25A5,1069,15006,21094,18583,17420,11715
78,HOXA11,0,0,0,0,0,0
80,DHX33,245,3497,4739,4598,4019,2674
81,MEOX1,0,0,0,0,0,0
83,LIG3,257,3986,5900,5203,4592,3261
84,RPAP3,193,2996,4159,3955,3421,2231
85,ACSM3,8,49,51,50,52,29
90,COPZ2,0,4,7,5,1,1
91,PRKAR2B,219,2564,3459,2907,2677,1856
93,CREBBP,621,7487,11093,8647,7590,4947
95,MPO,0,0,0,1,0,0
96,PON1,0,3,3,2,2,4
97,GCFC2,86,1238,1844,1714,1307,985
99,CROT,15,107,162,155,148,86
103,SOX8,37,337,494,522,422,301
107,FBXL3,89,1078,1529,1144,1119,798
109,PDK2,33,537,694,495,461,284
113,GGNBP2,5,132,12,4,11,26
115,ASB4,4,2,0,2,2,2
116,GDE1,176,2564,3842,2990,2729,1850
118,CRLF1,12,214,255,241,187,112
119,OSBPL7,14,216,338,353,310,194
120,TMEM98,170,1976,2782,2065,1840,1228
121,YBX2,41,505,749,461,468,321
122,KRT33A,0,0,0,0,0,0
123,MAP3K14,4,136,184,193,151,116
124,ABCC8,1,21,37,12,20,12
125,CCL18,0,0,0,0,0,0
128,CACNG3,0,0,0,2,2,0
131,TAC1,1,6,30,5,8,16
132,ZNF263,185,3219,4346,3495,3171,2178
133,CX3CL1,29,291,389,518,537,307
136,TNFRSF12A,112,1447,2128,3602,3230,2304
137,DLX6,0,9,3,36,13,29
139,RALA,450,6448,9169,8271,7578,5115
140,BAIAP2L1,187,2508,3522,3048,2564,1790
141,KDM7A,104,1566,2084,1746,1570,1057
142,ETV1,568,7630,10604,5897,5241,3558
145,TTC22,0,5,6,6,3,2
147,CCL26,0,2,12,11,4,7
148,FARP2,126,1770,2710,2374,2094,1383
151,DBF4,375,4370,5948,5262,4353,3217
152,TBXA2R,2,47,61,48,27,18
153,IFRD1,383,5235,7677,6442,5638,3879
154,LGALS14,0,0,0,0,0,0
155,COX10,50,635,936,784,605,470
156,GTF2IRD1,26,64,308,274,379,267
163,PNPLA4,108,1693,2422,1996,1752,1120
164,MYH13,0,2,2,6,1,3
165,ADIPOR2,536,7087,10139,8152,7491,5076
166,CDKL3,7,67,61,62,54,42
167,UPP2,0,6,3,10,2,2
168,PRSS21,0,2,0,1,0,6
170,PROM1,272,3271,4883,4199,3710,2765
171,CCDC124,321,4346,6160,5829,5407,3830
173,PAFAH1B1,344,4592,6140,4650,4416,3127
179,TRAPPC6A,34,473,618,519,446,364
180,MATK,57,870,1027,1097,939,691
182,CD79B,2,8,24,45,23,15
183,SCN4A,25,505,688,278,309,271
187,RPUSD1,170,2326,3023,2658,2377,1516
190,CACNA2D2,188,2893,4227,4137,3467,2294
191,BAIAP3,53,771,1094,752,566,521
192,TSR3,178,2434,3293,3019,2525,1722
198,FMO3,0,1,6,5,2,2
201,E2F2,21,337,501,449,413,255
202,PSMB1,516,7052,9909,7868,6736,4727
203,SYN1,105,1438,2123,1625,1511,863
204,JARID2,808,11925,17206,10341,9142,6487
205,CDKL5,49,654,956,561,527,353
206,CAMK1G,6,102,142,115,85,97
209,TFAP2B,0,0,4,2,1,0
210,TFAP2D,0,0,2,0,0,2
214,SYPL1,192,2555,3417,2973,2623,1684
220,SS18L2,65,674,1022,875,797,527
222,MGST1,745,10258,14711,12281,11559,8162
223,CRY1,242,2724,4087,3177,2850,2049
224,PGLYRP1,6,25,13,6,8,4
233,HEATR5B,78,1134,1619,1380,1314,851
235,RPS20,3176,42295,58515,51967,46978,31694
239,TENM1,11,169,255,121,61,67
240,PAX7,0,0,0,0,0,2
245,POMT2,65,755,996,938,794,538
248,BAZ1B,39,1002,580,580,336,214
249,RANBP9,157,1831,2698,2057,1950,1425
250,ETV7,0,2,2,23,16,10
253,DYRK4,24,519,741,634,524,311
255,UQCRC1,751,11067,15482,13690,11970,8614
256,STARD3NL,167,2334,3448,2991,2828,1810
257,CD9,1110,15540,22009,17278,14726,10649
259,NCAPD2,2713,35172,50972,41593,37101,25214
261,GIPR,0,48,62,34,42,19
263,SEMA3G,18,210,287,250,233,83
265,STAB1,0,24,9,13,9,9
266,FUZ,61,634,872,716,581,394
270,ZNF200,61,931,1197,966,908,678
271,CD4,0,33,39,53,38,16
277,HIVEP2,52,706,1061,800,726,526
279,TCEB3,177,1833,2538,2322,1942,1389
280,LYPLA2,169,2089,3011,2861,2675,1740
282,MRC2,128,1695,2282,1712,1482,1040
284,SLC6A7,0,0,0,2,0,5
285,TSPAN9,302,3959,5483,4303,4093,2443
287,APBA3,42,699,1051,914,759,692
289,ABHD5,59,601,973,720,669,450
290,KAL1,199,2836,4261,2257,2005,1365
293,UTP18,139,2457,3478,3174,2732,1943
298,SYT7,41,545,850,821,644,396
299,LARS2,273,4179,6236,4839,4513,3176
300,PIK3C2A,370,4987,6975,5591,4865,3240
301,PLAUR,28,406,512,598,606,377
302,ANLN,995,13570,18949,16093,13944,9753
306,QPCTL,23,392,490,495,351,239
308,CEP68,115,1412,1995,1746,1600,1135
310,ZBTB32,5,45,49,26,36,32
311,TYROBP,0,3,18,9,11,0
312,TMEM159,46,645,877,808,746,444
313,GABRA3,15,66,51,53,38,18
318,MBTPS2,129,1542,2386,1932,1603,1175
319,PRICKLE3,2,25,40,50,42,31
320,LTF,0,0,0,0,4,2
321,EXTL3,390,5541,7655,6681,6165,3962
322,NR1H4,0,0,0,0,0,0
323,ELOVL5,552,6990,9713,7237,6609,4442
324,ALOX5,0,0,4,4,2,2
327,UBR7,68,1169,1609,1296,1223,851
328,MAP4K5,149,2009,2779,2446,2111,1431
330,PSMC4,198,2811,3991,3180,2983,1943
331,MAN2B2,104,1200,1987,1416,1295,876
332,SLC7A14,8,90,107,199,150,116
333,CLDN11,12,69,116,103,89,40
338,RWDD2A,12,184,238,222,197,110
340,POLR3B,84,1134,1640,1502,1359,946
341,ANGEL1,225,2349,3347,2683,2387,1627
343,DNASE1L1,0,2,11,9,8,1
345,HEBP1,154,2495,3475,2795,2584,1783
346,GPRC5A,5,102,126,209,188,100
347,MAMLD1,0,0,0,4,0,1
350,UFL1,96,1137,1484,1278,1096,723
351,POLA2,261,3323,5006,4288,3665,2536
352,ZC3H3,84,1046,1321,1175,1047,703
356,SLC30A9,306,4196,5993,4886,4345,2947
358,COX15,150,1816,2473,2224,1865,1303
362,WAS,0,6,30,19,12,2
363,DPEP1,13,177,225,172,173,82
367,XYLT2,180,2204,3036,2787,2436,1720
368,RGPD5,15,155,379,476,386,213
372,CHDH,177,2330,3427,2667,2426,1654
373,IL20RA,16,102,115,113,95,65
375,CLCA4,0,0,0,0,0,0
382,RALBP1,238,3361,4574,4124,4036,2703
383,RUFY3,101,1386,1859,1663,1274,1014
387,AGPS,300,4045,5801,4930,4341,2944
388,ZNF806,0,9,17,3,5,5
389,CXorf56,106,1572,2185,1918,1764,1222
391,TTC27,82,885,1304,1113,979,725
393,VSIG2,2,20,30,48,26,14
395,MARCO,0,2,0,0,0,0
396,CYP24A1,0,0,1,3,0,3
397,PRDM11,20,247,381,355,285,183
398,SYT13,90,903,1418,976,839,533
399,SNAI2,7,165,243,299,237,167
402,ZRANB1,153,2056,3024,2646,2134,1550
405,CCT8L1P,0,6,7,2,2,0
407,MNAT1,27,767,1044,822,681,495
408,SAMD4A,54,782,1099,1497,1428,990
410,MRE11A,139,1919,2530,2023,1835,1394
411,PLEKHB1,0,7,8,5,6,6
412,SERPINB1,51,591,928,833,730,547
414,SLC7A9,0,2,9,5,7,0
415,SPAST,106,1341,1943,1641,1376,944
418,AQR,263,4006,5692,4394,3998,2715
420,C8B,0,0,0,0,0,0
422,RTFDC1,140,2119,2899,2570,2405,1739
425,SLC45A4,73,972,1256,862,895,511
428,ZDHHC6,67,959,1409,1178,975,666
431,NDUFS1,447,5844,8448,6636,6022,4105
432,RB1CC1,283,4038,5931,4470,3949,2719
433,ERP44,183,2631,3782,3007,2915,1918
435,BIRC3,0,4,4,3,6,8
436,AKAP11,153,2093,2908,2299,1905,1409
437,GLRX2,31,292,374,376,338,193
438,SNAPC1,34,470,555,644,588,421
439,DERA,365,4539,6917,4904,4587,3163
440,STRAP,2028,28374,41217,32551,29383,20102
441,ABCC2,6,48,93,132,114,88
442,DEF6,21,217,293,317,245,219
443,PLEKHO1,2,25,462,21,33,4
444,GCLM,164,2138,3034,2516,2359,1505
445,UBR2,125,1731,2639,2109,1884,1274
446,EHD2,40,723,1092,969,838,617
450,HSF2,54,733,1093,894,722,533
452,HSD17B6,19,231,254,207,221,160
454,TYMP,1,36,51,35,38,15
456,TOMM34,167,2325,3207,3124,2650,1846
457,SEC63,436,5930,8836,6522,5661,4154
458,KPNA6,614,7821,11275,10278,9128,6081
459,VIM,510,7833,11401,11738,10350,6795
464,KCNG1,212,2580,3364,4111,3621,2366
465,AGPAT4,163,1928,2574,2113,1665,1159
468,MIPEP,47,858,1146,1043,969,683
469,PRKCH,15,116,213,157,133,88
470,INSRR,0,4,4,6,6,8
471,IFNGR1,65,778,1089,852,791,596
472,B4GALT7,50,634,874,677,690,429
473,SH2D2A,23,439,550,613,482,325
480,TBPL1,58,764,1039,830,771,553
483,SLC39A9,151,1743,2315,1960,1722,1232
485,IBSP,0,0,0,2,0,2
486,TFB1M,51,594,822,783,649,503
489,NUP160,554,6475,9124,7211,6638,4594
490,BAK1,129,1377,1850,1721,1607,964
491,MUSK,0,9,12,10,12,6
494,FAM13B,59,701,925,803,658,477
495,ARHGAP31,40,499,681,303,349,218
497,CENPQ,41,351,526,434,318,258
498,SARS,867,10762,15563,12351,11226,7700
501,TSSC1,95,857,1266,1001,898,599
504,ALG1,66,917,1290,1046,931,652
505,ZCCHC8,150,2397,3225,2980,2451,1932
506,ABCF2,230,2616,3964,3534,3491,2362
510,UBA6,219,2573,3799,3000,2730,1757
511,GAB2,70,894,1345,1288,1047,799
513,PIAS1,187,2438,3509,2929,2413,1645
516,UHRF1,262,3103,4437,4210,3424,2310
518,EFCAB1,0,0,2,8,0,2
519,TMSB10,807,9789,13474,15375,14797,9961
520,ASTE1,0,28,38,19,13,16
521,RNF19A,84,1096,1641,1413,1246,870
523,GABARAPL2,152,1704,2314,2215,1657,1159
526,FAM136A,218,3358,4663,4094,3726,2571
528,DEPDC1B,136,1738,2681,2053,1903,1277
529,DAPK2,5,110,198,130,132,72
530,NSMAF,188,2639,3709,3160,2682,1950
531,ADSS,368,4709,6511,6234,5610,3814
532,STAP1,0,0,0,0,0,1
533,TIMP2,52,760,1217,1190,1134,697
535,TBC1D23,102,1644,2154,1473,1249,959
536,CUL3,482,6734,9997,7490,6483,4594
537,MYOM2,0,0,0,0,0,0
538,OTC,0,2,0,1,0,1
539,CYP46A1,2,38,40,64,16,26
540,ZZZ3,317,4317,6297,4892,4117,3160
543,CASR,0,2,0,0,2,0
544,TUBG2,45,475,714,698,570,380
545,RPL26L1,40,456,703,665,501,358
548,FBXO42,60,804,1174,1031,945,600
549,MFAP3,80,1164,1671,1274,1120,830
550,MRI1,38,559,810,781,644,453
552,HOXC8,0,0,0,0,0,0
553,AGA,18,411,570,457,415,278
554,PI4K2B,139,1904,2657,2270,2073,1358
555,BOD1L1,580,7631,10967,9212,7932,5499
557,TLL1,0,4,11,7,5,6
565,DNAH5,0,26,31,59,41,29
568,C6,0,0,0,0,0,0
569,RAI14,239,3239,4693,4820,3935,2538
570,SOX30,0,31,28,24,17,23
571,PNKP,112,1481,1751,1433,1289,896
572,BEST2,0,0,5,3,2,2
576,PQLC2,27,541,800,660,624,414
578,RTN4R,46,884,1295,1041,895,583
579,PHF23,226,2531,3707,3079,2822,1840
580,CDH10,5,50,63,123,95,40
582,RAB27B,0,6,4,8,15,3
585,LSG1,141,2393,3242,2892,2615,1952
589,FAM65C,10,180,180,120,116,87
590,TDP1,47,421,643,543,422,335
592,C2orf83,0,0,0,0,0,0
594,MED17,110,1451,2203,1848,1791,1236
595,RETSAT,28,487,741,790,723,516
597,AP2S1,196,2484,3485,3047,2969,1968
598,USH2A,0,14,19,9,9,8
599,ZPBP,0,2,0,1,2,1
600,TG,0,0,0,0,0,0
601,ADAM28,2,40,60,35,35,24
602,BARX2,0,1,0,4,0,0
603,DCUN1D1,150,1719,2272,1732,1584,987
605,ZIC2,796,10771,15003,12657,10730,7194
606,LCP2,2,20,36,30,23,18
608,ADRB1,0,8,11,20,16,3
609,GUCA2B,0,0,0,0,0,0
610,CUL7,88,1183,1562,1514,1103,805
612,PHKA2,154,2088,2740,2438,2060,1386
614,EPHA3,2,4,12,3,4,2
615,HSPA5,1424,19044,28988,24270,22430,15417
616,DSG2,483,6195,9433,7294,6767,4342
617,GEMIN8,35,651,795,760,675,459
620,MAGEC2,0,0,0,0,0,0
627,FAM214A,9,231,295,207,204,151
628,ARAP2,7,3,11,5,21,5
629,TPR,1549,20079,28813,24158,21479,14408
630,CP,5,111,184,159,123,112
631,KIAA0556,78,1017,1451,1032,916,698
633,XK,0,7,12,8,7,3
635,C12orf4,98,1655,2223,1928,1618,1182
639,FAM184B,0,43,71,72,38,35
641,GOPC,150,2669,3902,3145,2876,1966
642,ROS1,0,0,0,0,0,0
643,USP28,511,6749,9871,7711,6885,4604
648,RRM2B,130,1521,2035,2377,2101,1504
649,ZNF800,52,604,861,739,663,434
650,TNFRSF17,0,2,2,0,6,2
651,SNX29,44,598,817,552,402,289
653,MRPS10,74,925,1483,1334,978,777
654,GUCA1A,12,123,230,91,98,63
655,RSF1,556,7374,10757,7860,6826,4798
656,VPS13D,82,1604,2405,1682,1639,1051
660,COL9A2,63,727,935,856,848,577
661,KITLG,21,235,298,308,319,182
662,ERCC8,26,451,691,597,454,372
664,H6PD,161,1994,2726,2103,1896,1172
665,VAMP3,78,1323,1863,1584,1613,1039
667,UTS2,0,0,1,7,4,7
668,TNFRSF9,0,0,0,2,0,0
670,SRD5A2,0,0,0,0,0,0
672,RCN1,673,9219,13616,11009,9708,6921
674,RFC2,39,95,953,74,117,357
676,CLPTM1L,172,2584,3607,3176,2993,1924
679,PPP1R3F,1,3,6,5,5,2
680,HEXB,206,2345,3353,3503,3189,2285
682,KIAA2022,6,75,96,70,35,25
686,NFE2L3,1106,16690,23442,12919,11142,7636
687,MCUR1,155,2518,3393,2924,2628,1861
688,LIMA1,68,1174,1791,1561,1504,929
697,FAM160A2,97,1608,2118,1718,1547,985
701,POLQ,135,2167,2901,2531,2073,1414
702,PIK3CB,121,1750,2402,1857,1800,1241
703,CYBA,255,2903,4169,3747,3212,2280
704,THOC3,116,1907,2069,1474,1338,874
705,HEBP2,87,1397,2100,1882,1656,1085
709,SIKE1,487,6264,8583,6756,6000,3871
710,RRP12,137,2219,3452,3156,2806,1954
711,FNIP2,69,875,1030,845,806,513
712,MSMO1,298,3708,5511,3465,3042,2169
714,ALX4,2,39,35,50,37,19
717,METTL24,0,13,21,18,1,2
718,AKR7A2,41,754,1005,812,826,595
719,MRTO4,162,2089,3038,2736,2538,1727
720,NNAT,8,164,183,140,154,88
721,USE1,35,446,584,531,430,333
722,MCF2L2,22,231,261,217,187,156
725,AP5M1,67,1349,1807,1299,1158,846
726,ANAPC4,122,1544,2227,1994,1942,1268
728,TRAPPC3,229,3068,4246,4031,3858,2749
729,THRAP3,1185,15303,21894,18324,16249,11338
731,ENTPD2,4,51,50,48,56,26
732,LY75,4,22,23,18,24,6
734,OPN3,128,2098,2928,2486,2258,1573
736,PTPRN,10,113,191,184,177,74
737,HHAT,9,129,197,252,266,106
739,FOXC1,28,449,706,524,537,337
740,TBC1D22A,48,678,1090,742,703,454
742,PLEKHH1,68,810,1177,1132,943,715
743,ATP9A,30,521,776,625,578,374
744,SPO11,0,0,1,0,0,0
745,CBLN4,0,0,0,0,0,0
747,FAM168A,148,2148,3071,2216,1989,1410
748,RELT,46,367,542,828,693,499
750,NOP58,628,9253,13000,11995,10361,7390
757,GINM1,40,622,899,722,686,507
761,MCOLN3,28,448,642,538,490,331
762,CCDC85A,0,0,7,1,0,2
766,ITIH1,0,0,2,0,0,0
767,C4orf27,55,921,1306,1159,897,692
772,TRAF1,42,693,850,713,616,424
774,PCGF2,201,2389,3351,3065,2609,1689
775,IL17RB,54,780,1141,964,777,595
780,SOAT1,63,520,762,645,523,418
781,PKP2,136,1896,2861,3310,2845,1919
782,MSH4,0,16,27,18,20,9
783,F7,4,52,42,42,30,23
786,ATG5,82,1026,1738,1205,994,705
787,TMCC3,39,398,631,515,444,295
788,PITHD1,113,1418,2161,1938,1866,1327
789,MTA3,645,9627,13047,10201,8972,6318
790,USP13,163,2264,3200,2455,2208,1533
794,SEC61A1,547,6815,10081,8998,8284,5471
802,RIOK2,91,1075,1610,1482,1282,884
803,YIPF1,43,764,1102,881,879,564
809,PARP12,18,316,429,297,275,192
810,ALDH18A1,370,5254,7287,6126,5381,3797
811,TARBP1,355,5034,6739,6308,5607,4101
812,PET112,66,938,1395,1058,971,666
813,MXD1,6,65,76,79,101,43
814,CDK17,165,2118,2910,2223,1877,1414
819,YBX3,3201,42782,61865,68585,60113,41993
820,STYK1,22,253,371,292,265,159
822,RPS17P5,0,1,0,1,5,6
823,CCAR1,534,7364,10209,7773,6819,4766
825,GNA15,0,6,4,7,3,7
826,CREB3L3,0,8,5,8,17,0
827,PIGV,43,748,1045,872,707,558
829,SNRNP40,452,5757,8332,7010,6282,4201
830,RIMBP2,17,248,341,260,194,141
839,WNT8A,0,11,18,21,4,12
840,SPAG4,2,80,93,83,84,55
842,MRPS35,293,4751,6830,5824,5235,3829
843,GUCY1B3,4,95,116,55,73,30
844,SFSWAP,297,4169,5806,5272,4684,3158
847,CDH3,110,1492,2188,1820,1761,1212
854,MRPS24,8,128,153,119,109,87
857,VMP1,129,1954,2786,2446,2266,1615
858,APPBP2,66,820,1224,942,922,599
859,POLD1,292,4015,5597,4828,4416,2912
863,GLTSCR1,90,1389,1966,1765,1514,1008
865,RPL18,1382,19076,26232,22477,20436,13853
866,CA11,124,1936,2638,1970,1661,1195
867,ISOC2,56,938,1120,780,723,528
868,U2AF2,778,10661,14895,13444,12107,8620
870,MED29,112,1600,2377,1907,1737,1145
872,GSC2,0,0,0,0,0,1
875,GPC1,257,3204,4625,3397,3140,2076
877,HAGH,96,1276,1741,1408,1309,806
882,TM7SF3,411,5828,8237,10530,9904,6355
883,DLX3,2,19,34,45,25,31
884,SPA17,37,351,483,389,359,213
886,WISP2,0,3,1,4,1,4
887,DMRT3,2,2,6,11,2,4
888,ST3GAL6,42,535,668,465,387,319
889,ATP2C2,1,29,43,41,36,18
890,NGFR,11,190,247,236,297,190
892,TAF2,160,1975,2938,2245,2018,1355
894,TNPO3,802,9790,14158,10910,9908,6847
896,RFXANK,75,1097,1466,1056,978,577
898,LPAR2,104,1475,1990,1862,1623,1097
901,SLC12A2,86,1263,1813,1421,1272,827
902,SNX24,52,603,965,770,593,449
905,ABCA7,49,646,779,626,560,409
907,DDX20,178,2527,3679,3136,2767,2023
908,BTBD1,272,3607,5054,4679,4042,2804
909,FAR2,87,1005,1288,869,697,505
910,BCAS1,7,144,160,105,90,60
911,POU1F1,0,3,0,2,0,0
912,CHI3L2,0,0,1,3,0,2
916,CALCRL,1,84,76,21,30,23
921,SLC9A3R2,22,421,567,566,565,359
922,NTHL1,32,613,919,783,765,505
924,GNAI3,309,4475,6205,4887,4333,2932
926,OAT,271,3848,5263,4763,4336,3037
929,WDR18,335,4431,6043,4981,4213,2916
930,TRAM2,89,1241,1768,2017,1715,1094
931,NTN1,50,816,1234,1073,987,572
932,GLP2R,0,0,0,0,2,2
939,ADAT1,77,1010,1640,1304,1163,847
941,TBC1D22B,74,1083,1511,1191,1068,716
942,NDUFB4,175,2282,3354,2939,2743,1913
943,SPEN,311,4219,6156,4558,4328,3078
947,TMEM206,73,983,1215,1198,967,725
949,SLK,179,2629,3670,3275,2952,1978
950,CYB5R4,28,334,519,429,306,211
956,ASB1,163,2512,3350,2911,2649,1744
957,FAM107B,60,839,1290,1171,925,651
958,ME1,2,17,16,14,16,8
961,MTHFD2,466,6364,9115,8520,7772,5440
962,SLC9A7,34,587,1002,645,613,444
963,FOXJ2,397,4990,7203,5034,4690,3080
966,PPP2R5A,128,1849,2454,1763,1699,1212
968,ELAVL1,498,6509,9367,7571,6784,4522
969,TIE1,32,483,599,565,554,282
970,DIP2B,196,2521,3567,2785,2585,1729
972,KDM4A,680,8847,12654,8080,7487,4787
974,ZMYND12,2,9,19,10,9,3
975,SLC9A3,13,193,263,244,192,131
979,ELOVL1,66,1190,1740,1551,1473,911
980,SPI1,5,64,65,72,92,57
983,CLDN18,0,32,41,34,37,23
984,ZBTB11,84,944,1499,1237,1096,760
986,GOLGA5,103,1298,1955,1691,1534,1044
988,LRRC40,263,4332,6247,5328,4456,3035
989,ISOC1,81,1385,1765,1694,1419,923
992,THUMPD1,317,4421,5898,4825,4491,3041
995,ATG2B,117,1359,2087,1603,1366,951
996,ARFGEF1,724,10090,13889,9048,8440,5748
1001,FECH,83,1415,2149,1691,1454,1012
1005,IDI1,165,2558,3831,2304,1997,1360
1010,TRAM1,226,3110,4693,3831,3571,2443
1012,TNFRSF1A,616,8628,12066,9882,9005,5925
1015,STOML1,19,178,250,194,178,124
1017,DHX29,151,1783,2707,2362,2024,1453
1018,DNTTIP2,249,3553,4775,4580,4008,2889
1020,TP53BP1,445,6394,9212,6924,5962,4062
1022,RRP15,247,3645,5347,4329,3710,2538
1023,RHOA,1693,22434,32240,28507,26087,18243
1024,DHX8,118,2016,3004,2415,2334,1420
1025,PMS2P4,4,25,74,57,53,31
1027,ZFY,33,477,611,511,422,266
1028,IARS2,575,7190,10163,8648,7886,5193
1029,SYT1,56,886,1174,688,626,390
1030,NAV3,5,163,210,111,83,65
1032,ROGDI,70,930,1409,1133,982,772
1033,PDZD4,14,133,228,107,433,129
1035,ROCK1,315,4114,5753,4263,3784,2605
1036,CBFB,186,2834,3745,3032,2811,1911
1037,PDK3,41,647,806,585,548,348
1038,HYAL2,35,45,47,50,67,30
1042,IFI35,5,7,19,20,30,22
1047,OTUD5,1,27,26,26,421,10
1052,GPKOW,20,117,14,14,186,114
1053,GRIPAP1,98,1793,2272,1053,1257,842
1055,PRR11,296,3415,4920,4079,3533,2292
1059,LAPTM4A,575,8904,12254,10249,9147,6529
1063,SRBD1,126,1529,2278,1933,1682,1174
1070,ERLEC1,121,1621,2304,2188,1930,1308
1071,PPP2R5B,17,214,300,213,180,103
1072,PYGM,5,158,164,125,129,105
1073,PAGE1,0,0,0,0,0,2
1080,NUP133,531,6854,9825,8620,7540,5389
1083,DNAJA2,435,5043,7252,5719,5377,3939
1084,BCL3,16,240,316,342,261,173
1086,ABCC9,0,0,4,3,1,3
1087,GAL,293,3777,5363,6170,5718,3846
1089,FUNDC1,62,838,1189,1019,965,583
1092,DRD4,7,121,156,199,129,91
1093,TGFBR3,93,1170,1856,1204,1104,666
1094,KIAA1107,29,334,527,399,364,192
1095,PLA2G10,1,7,3,1,4,12
1096,HES2,0,5,11,33,27,29
1097,ATP1B3,463,5967,8278,7131,6747,4559
1099,PIGB,13,238,321,235,205,163
1100,MAPK6,177,2497,3519,3027,2721,1800
1103,CECR5,226,2708,3664,3405,3237,2097
1105,LRP6,911,12201,17038,12680,11636,7988
1106,GUCY2C,0,33,59,18,4,23
1107,SCT,1,6,5,4,4,2
1108,PHRF1,393,5290,7180,6330,5519,3839
1111,PFN2,403,5695,7672,6618,5586,4046
1112,PTPN3,30,562,777,915,796,533
1114,DAPP1,0,2,0,1,0,0
1115,FGF10,3,8,14,5,5,4
1117,TMEM260,54,827,1202,887,851,484
1118,SMG6,110,1566,2472,1845,1654,1017
1121,FGF22,0,20,35,37,51,30
1122,FSTL3,34,684,919,933,825,563
1128,POLB,110,1334,1868,1613,1495,979
1130,WIPI1,19,288,364,332,322,261
1131,FRMPD1,0,3,13,0,4,6
1135,AP3M2,96,1559,2035,2255,2008,1401
1136,CNGB1,0,1,7,6,2,2
1137,ST6GALNAC2,7,42,42,72,62,35
1139,PABPC1,7451,99084,144646,132110,118036,80299
1141,C16orf80,141,2477,3519,2926,2643,1808
1142,CSNK2A2,476,6500,9330,7284,6633,4596
1143,PTPN21,46,671,920,1030,796,558
1148,OSBPL3,154,2046,2864,2696,2574,1795
1149,EPHA8,18,278,319,273,236,190
1150,SLC12A3,0,3,0,0,0,1
1151,RAD18,136,1763,2672,2763,2318,1751
1153,TRPM5,0,2,3,4,0,2
1154,NCK2,306,3966,5658,4137,3720,2359
1156,MGAT4A,15,181,268,199,139,85
1157,RPL31,1424,18857,25943,24068,21981,14943
1160,MS4A12,0,1,0,1,1,3
1161,ARHGAP10,18,281,360,498,347,287
1162,RPS6KA2,40,885,1229,825,730,455
1164,VASH1,75,905,1332,1130,1034,658
1165,LMCD1,20,244,315,301,299,158
1166,WBSCR22,55,2220,587,2118,633,568
1167,SEL1L,91,1194,1634,1334,1177,739
1168,TRIP13,96,1560,2223,2274,2004,1444
1171,TRIB2,495,7350,9756,7432,6374,4540
1174,PRLH,0,0,0,0,0,0
1180,CYBRD1,31,407,558,546,568,338
1181,CDH19,0,0,0,0,0,0
1182,PDCD2,125,2141,2930,2561,2456,1606
1184,RDH11,156,2387,3237,2413,2296,1594
1185,PRKACA,209,2520,3676,3190,2673,1772
1187,SPP2,0,0,0,0,0,0
1188,ACTN1,1034,13667,19660,15740,14609,9347
1190,RPS6KA6,57,691,879,716,672,479
1192,PTPN18,89,940,1304,1248,1003,740
1194,ASIC4,2,56,51,64,48,27
1196,LNX1,8,129,253,205,225,144
1198,TFRC,752,9493,13151,11517,10550,7306
1200,TRPC5,4,71,142,59,31,43
1201,AFF4,488,6403,8753,6695,6058,3946
1203,MPP5,79,1211,1805,1458,1317,874
1207,HSD17B10,0,11,14,20,6,1
1211,TRHDE,2,87,100,94,126,56
