Geneid	_filesTien_Cont1_S25sorted	_filesTien_Cont2_S26sorted	_filesTien_Cont3_S27sorted	_filesTien_Zn1_S28sorted	_filesTien_Zn2_S29sorted	_filesTien_Zn3_S30sorted
ENSG0000007836913	1397	19456	28038	20938	19201	12965
ENSG000002310501	0	10	5	9	6	3
ENSG000001698855	7	78	107	150	103	63
ENSG000001788218	5	105	105	117	99	62
ENSG0000014260913	0	8	10	9	6	12
ENSG000002335421	0	2	3	0	6	5
ENSG000001877306	4	29	62	62	72	22
ENSG000002269691	0	2	0	2	0	0
ENSG0000006760611	43	571	755	594	536	428
ENSG000002718061	0	4	8	6	4	11
ENSG000001828734	22	230	356	267	261	156
ENSG0000016258512	108	1203	1592	1506	1464	839
ENSG000002695541	0	0	0	0	0	0
ENSG000002033012	0	8	8	13	8	11
ENSG000002435581	0	0	0	0	0	0
ENSG000002343963	0	0	2	3	1	1
ENSG000001579339	454	5868	7842	6883	6229	4213
ENSG000001161519	26	329	354	280	214	157
ENSG000002721611	2	2	3	3	9	8
ENSG000002697531	1	5	9	16	7	6
ENSG000002698961	5	83	122	77	82	52
ENSG000002382402	0	0	0	0	0	0
ENSG000002724201	0	12	15	24	18	10
ENSG000002719211	0	14	19	21	24	13
ENSG000002718471	0	18	12	10	13	3
ENSG000001786425	0	0	0	0	0	0
ENSG0000015791614	163	2334	3299	2803	2532	1814
ENSG000001579115	35	655	878	579	527	450
ENSG0000014952713	0	29	36	19	19	10
ENSG000002243871	0	0	0	0	1	1
ENSG000002293931	0	0	0	1	0	0
ENSG000001578819	59	1024	1231	1193	1058	655
ENSG000001979215	0	0	0	0	0	0
ENSG000002724491	10	30	45	37	18	15
ENSG000002381642	1	15	6	3	0	1
ENSG0000015787313	0	8	8	7	20	10
ENSG000002259313	0	1	0	0	0	3
ENSG000002280371	0	2	3	0	1	2
ENSG0000015787010	125	1398	1952	1345	1387	887
ENSG0000014260611	4	70	85	84	55	40
ENSG000002370581	0	0	3	2	0	1
ENSG000002159127	6	19	20	25	21	15
ENSG000002332341	0	0	0	0	0	0
ENSG000002316301	0	0	0	0	0	0
ENSG000001697175	0	1	2	4	0	0
ENSG000001771336	0	0	14	6	9	4
ENSG000002567611	0	0	0	0	0	0
ENSG0000014261112	4	90	99	71	63	38
ENSG000002262861	0	0	0	0	0	0
ENSG000002722351	0	0	0	0	0	2
ENSG0000013076210	71	930	1369	1214	984	732
ENSG000002720881	0	7	18	13	20	8
ENSG0000016259111	51	718	928	985	852	647
ENSG000002077761	0	0	0	0	0	0
ENSG000002382601	1	25	27	21	15	7
ENSG0000015810910	93	1323	1818	1692	1356	1048
ENSG0000011621311	62	864	1215	1132	964	665
ENSG0000007890010	20	158	223	187	184	99
ENSG000002275891	0	0	1	0	0	0
ENSG000002351311	0	0	0	1	0	0
ENSG000002273726	231	3088	4076	3553	2880	2130
ENSG000001625924	5	13	22	27	12	10
ENSG000002351693	0	12	11	9	18	5
ENSG000001307645	379	5440	7256	5683	5091	3370
ENSG000002660751	1	5	10	4	6	5
ENSG000002721531	11	49	126	67	59	41
ENSG000001161988	96	1004	1477	1358	1267	824
ENSG0000016959811	16	278	351	274	244	200
ENSG000002644281	0	0	0	0	0	0
ENSG000001989126	135	1360	2011	1751	1546	1130
ENSG000002364231	2	5	11	9	9	13
ENSG000002333041	0	0	0	0	2	0
ENSG000002263741	0	0	0	0	0	0
ENSG000002292801	0	0	0	0	0	0
ENSG000002350541	0	0	0	0	2	0
ENSG000002271692	0	0	0	0	0	0
ENSG000002325961	0	0	0	0	0	0
ENSG000001965816	39	557	806	451	394	221
ENSG000002315101	0	1	1	2	1	0
ENSG000002609721	0	0	0	0	0	0
ENSG000002643411	0	0	0	0	0	0
ENSG000002369481	0	2	0	0	0	2
ENSG000002160452	0	0	0	0	0	0
ENSG000002641011	0	1	0	0	0	2
ENSG0000013169713	38	427	616	431	388	301
ENSG000002666871	0	0	0	0	0	0
ENSG0000006942410	23	162	263	177	185	125
