gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
YMR174C,4392.76150148913,5.50490817074918,0.18407823845618,1.08874956058418e-197,6.66423606033579e-194
YBR072W,30053.8056643276,6.51670780690704,0.229521608456753,4.27900049778259e-178,1.30958810234636e-174
YBR117C,7641.36959615811,7.4304769482341,0.269904122971096,5.02390162404619e-168,1.02504339469289e-164
YGR256W,7219.4222275193,6.77290417445652,0.28301735829188,1.17746359744867e-127,1.80181366999583e-124
YMR175W,8530.85824269511,7.51851755250518,0.335344669841861,1.29922041659973e-112,1.5905056340014e-109
YGL121C,4733.68470235423,4.32644608834685,0.195224550156356,6.55917233720128e-110,6.69144897933484e-107
YPL223C,4522.80896316045,7.10304089313984,0.322686241078929,1.96556566227208e-108,1.71874677410963e-105
YKR076W,3378.20046488707,4.29245192594004,0.232073957636491,1.66025352802481e-77,1.27030148062998e-74
YMR175W-A,768.124106220258,7.876213838748,0.426646053892903,1.51260978691651e-76,1.02874272285733e-73
YKR049C,4005.58779369008,2.90092263667389,0.174599303838428,5.16005311850704e-63,3.15846851383816e-60
YIL136W,16200.9238172519,4.21934010252001,0.260399689877993,2.47096443848893e-60,1.37497939345371e-57
YMR090W,8158.486391445,3.38778257414353,0.210715750901969,2.57786611580227e-59,1.31492654123547e-56
YBL075C,4680.30602890282,4.5792103594706,0.285451525362492,4.07559137801541e-59,1.9189765249871e-56
YOR120W,6781.62084829795,3.15649671720364,0.208876387262688,9.98919167142714e-53,4.36741730148611e-50
YML042W,1254.24182123837,3.55497619890764,0.235792586780173,1.86155019946418e-52,7.59636584728015e-50
YDL130W-A,4001.82097487874,2.40204722685597,0.1596709192929,4.58645858900199e-52,1.75460706395508e-49
YGL156W,3817.98707621443,3.55894927020069,0.239776810367938,6.21753592729148e-51,2.23867867123242e-48
YDL085W,1076.55503717901,5.56107567138857,0.375786232686467,1.29536710445314e-50,4.40496780353204e-48
YDL169C,1009.1010874344,3.23950777800377,0.224263251988477,2.34569900464241e-48,7.55685453021906e-46
YBL002W,4164.51709789191,-2.72657338066003,0.188825578836704,2.76536706203706e-48,8.46340589336443e-46
YJL045W,380.310876746123,3.98314658836462,0.278052301776089,1.14345280058252e-47,3.33289266303125e-45
YKL026C,2275.9954659795,2.98840862116102,0.209970037598812,5.42741933696214e-47,1.51005608007024e-44
YEL040W,4829.07447205675,-3.96276383575357,0.283568634805279,1.50006914319479e-45,3.99214053282404e-43
YKL065W-A,545.274311100657,4.23271122339526,0.308931476218249,7.54664770970774e-44,1.92470960963004e-41
YIR038C,7688.60438914065,3.33997863781698,0.244424243346293,1.33475662580434e-43,3.26801812261936e-41
YDL223C,2013.365487862,4.04351318684863,0.297498844490002,3.34537737631733e-43,7.87579035401476e-41
YGR043C,14409.4265900425,5.96148517325759,0.442970739298203,1.77399179267116e-42,4.02170509738524e-40
YNL200C,6955.95582082879,2.8114653584882,0.212239681123535,4.61339326752429e-41,1.00852072108986e-38
YKL107W,536.743530352572,4.12525602043822,0.313619698390612,1.4146781135513e-40,2.98594645967156e-38
YMR107W,3026.52025914156,5.97923385677851,0.455536558074473,1.61896044063079e-40,3.30321895236702e-38
